artist,id,lyrics_owner_id,primary_artist_id,primary_artist_name,song_art_image_thumbnail_url,title,url,pageviews,lyrics
A Boogie wit da Hoodie,2986968,4277396,639521,A Boogie wit da Hoodie,https://images.genius.com/52a536fd4c1955dfc3ff8f645ff8b9c7.300x300x1.png,Drowning,https://genius.com/A-boogie-wit-da-hoodie-drowning-lyrics,2075573,"Drowning Lyrics[Intro: A Boogie Wit Da Hoodie]
I'm drownin'
I'm drownin'
I'm drownin'
I'm drownin'

[Chorus: A Boogie Wit Da Hoodie]
Wrist so icy, wonder why she like me, bitch I'm drownin'
In water, I just bought a Cuban, dipped it in a fountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I just bought a Cuban ring and dipped it in a fountain
Chain so heavy I feel like I'm holdin' up a mountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'

[Verse 1: A Boogie Wit Da Hoodie]
I'm with all my niggas, I don't go nowhere without 'em
If they don't let us in they might throw shots at the bouncer
Actavis medicine, got it straight from out the doctor's
I'm with RJ but I call him Wayne 'cause he's a shotta
Pick up the ladder, put it in the gun, make the .9 stretch
Niggas with attitude, but we come straight out of Highbridge
I'm gon' make her panties wet when she see the way I flex
I'm gon' win a Grammy, move my family out the projects
We went from chillin' in the projects to makin' projects
We was tryna get to the top, and they tried to stop us
I talk for myself, bitch I don't need no fucking voucher
She looked at my wrist and she looked at a hundred thousand
[Chorus: A Boogie Wit Da Hoodie]
Wrist so icy, wonder why she like me, bitch I'm drownin'
In water, I just bought a Cuban, dipped it in a fountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I just bought a Cuban ring and dipped it in a fountain
Chain so heavy I feel like I'm holdin' up a mountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'

[Verse 2: Kodak Black]
Just bought a brand new chain from Avianne
Nigga with attitude but I ain't from Compton
Lil Kodak, bitch, I'm Polo'd down like Carlton
Sniper Gang, I put a nigga on a carton
I'm the shit I'm fartin', I don't know how to potty
Pull up in a 'Rari, I'm in the Yo like Gotti
A Boogie, I'm goin' Scottie, nigga drop my deposit
I ain't Jamaican, bitch I'm Haitian, but I got them shottas
Harley Davidson every day, I'm ridin' with the chopper
They hatin', I know they don't wanna see a nigga prosper
I ain't doing trims, I'm in the cut like I'm a barber
She call me daddy, but I ain't her motherfucking father

[Chorus: A Boogie Wit Da Hoodie]
Wrist so icy, wonder why she like me, bitch I'm drownin'
In water, I just bought a Cuban, dipped it in a fountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
I just bought a Cuban ring and dipped it in a fountain
Chain so heavy I feel like I'm holdin' up a mountain
Everywhere that I go it's a light show, I'm surrounded
Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'
[Outro: A Boogie Wit Da Hoodie]
Bitch, I'm drownin'
Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'77Embed"
A Boogie wit da Hoodie,2441276,3034264,639521,A Boogie wit da Hoodie,https://images.genius.com/6525c2ce73fa03270a8d694e2e6249ab.300x300x1.jpg,Still Think About You,https://genius.com/A-boogie-wit-da-hoodie-still-think-about-you-lyrics,2071304,"Still Think About You Lyrics[Intro]
Now I'm saying, ""What's good with you?""
I remember being in the hood with you
I still think about you

[Verse 1]
Fuck all the phony shit
Fuck it, I'm stuck on some doly shit
Had a knife in my back when I wrote this shit
I look back and I laugh when I noticed it
I shoot up and lean back on some Kobe shit
They don't know how to pass on some Kobe shit
Should've listened, my mom always told me this
I was only 13 when she told me this
Watch who you fuck with
And never ever trust a nigga for nothing
Even if you feel like you really love her
Don't ever tell that bitch that you really love her
'Cause that's when she's gon' make you feel like you nothing
And that's when you gon' start to feel like you buggin'
I wish I would've never told you wassup
And I wish I never even told you pull up

[Chorus]
Got me saying, ""What's good with you?""
I remember being in the hood with you
Everything was always understood with you
Girl I even bust a couple juugs with you
I still think about you
Girl I still think about you
Said you always gon' be there for me
Now you gone and you just disappeared on me
Can't believe I really thought you cared for me
You was s'posed to be the one that's here with me
I still think about you
Girl I still think about you
[Verse 2]
I hope that I never see you again
I don't wanna put up with it
I don't wanna fuck with it
I'ma just send you this letter whenever I'm done with it
I know you gon' read it
I called you a bitch at the end, I don't know if I mean it
I ain't wanna believe what my niggas was telling me
My nigga I shoulda cheated
And now I feel stupid
I shoulda knew better than this
Wasn't the right way to do it
I should've been choosing the money instead of a bitch
Fuck it cause I'm gettin' to it
Just watch how I do it
I knew I was ready for this
Bitch I'ma focus on music
You love how I do it
I knew I was ready for this

[Chorus]
Got me saying, ""What's good with you?""
I remember being in the hood with you
Everything was always understood with you
Girl I even bust a couple juugs with you
I still think about you
Girl I still think about you
Said you always gon' be there for me
Now you gone and you just disappeared on me
Can't believe I really thought you cared for me
You was s'posed to be the one that's here with me
I still think about you
Girl I still think about you
[Verse 3]
But all I can say is you dumb ho, you got me feeling stupid
You got me singing all these love songs
What the fuck am I doing?
I don't know what I'm doing
But I'm going up though, I just hope I don’t lose it
Bitches pickin' and choosin'
But I know what's up tho, I already been through it
We coulda been balling together
Hit up the mall, it's whatever
You know that I started from nothing
Them bitches was fed up
The way you made all of them jealous
You said that you was gon' ride forever and ever
You told me forever and ever
I shoulda known you was lyin'
I shoulda known better
You lied I should’ve knew better

[Chorus]
But still I'm saying, ""What's good with you?""
I remember being in the hood with you
Everything was always understood with you
Girl I even bust a couple juugs with you
I still think about you
Girl I still think about you
Said you always gon' be there for me
Now you gone and you just disappeared on me
Can't believe I really thought you cared for me
You was s'posed to be the one that's here with me
I still think about you
Girl I still think about you
[Outro]
Now I'm saying, ""What's good with you?""
I remember being in the hood with you
Everything was always understood with you
Even bust a couple juugs with you
I still think a–
I still think ab–
I still think about you yeah
I still think about you, you, you, you
Had a knife in my back when I wrote this shit
I look back and I dab when I noticed it
I look back and I dab when I noticed it
I look back and I dab when I noticed it
I look back and I laughed when I noticed it
I still think about you, you, you, you
I still think about you, you, you, you
(Now I'm saying, ""What's good with you?"")
I still think about you
I look back and I dab when I noticed it35Embed"
A Boogie wit da Hoodie,2453486,1619851,639521,A Boogie wit da Hoodie,https://images.genius.com/ea2d909e09e67f5bd9e159361cb4cab0.300x300x1.png,Jungle,https://genius.com/A-boogie-wit-da-hoodie-jungle-lyrics,1294214,"Jungle Lyrics[Intro]
You gotta D Stackz beat
Nigga, this is what that jungle do
You been plottin', nigga, wasn't you?
I should've never even fucked wit' you

[Verse 1]
Yeah, I started in the back, had to skip the line though
I'ma keep that shit a stack 'til my fucking time go
Niggas throw you in the shade 'cause they wanna shine though
Nigga throw me in the grave in a Ferragamo
Man I can't believe they killed my fucking bro Quado
Shit was so deep I had to say that with my eyes closed
That shit made me wanna treat a nigga like he John Doe
Nine on me, Rondo, now that nigga John Doe, ha

[Bridge 1]
This is all I ever wanted, nigga
Why would I let you take it from me, nigga?
I ain't stupid, ain't no dummy nigga
A couple fingers on a couple triggers
Fuck with you, why would I fuck with you?
You been plottin', nigga wasn't you?
I should have been watching from the jump with you
Fuck it, this is what that jungle do
[Verse 2]
Started, what I started
Anybody want a problem, this is my shit
Tell 'em if they want a problem I'm from Highbridge
Got a nigga with a shotgun up in my whip
Making bitches go retarded with this hard dick
Why you think my name is Artist? I'm an artist
I woke up to a ménage, I'm just being honest
I get money, if I want it, I'ma cop it
If a nigga want static, let him have it
Have you ever seen a mini semi-automatic?
It go dumb like a drum, hear the beat blastin'
When it come to that fire, I'm a fucking dragon, ha

[Chorus]
Nigga, this is what that jungle do
Nigga, this is what that jungle do
You been plottin', nigga, wasn't you?
I shoulda never even fuck wit' you

[Verse 3]
I was walking in the rain with my Timbs on
Steppin' over puddles full of pain, it's a big storm
13 on my Balmains, it's a big storm
In the club love to make it rain
Like what nigga, we don't fuck witcha
Know I'm all about my bucks nigga, I don't trust niggas
Ever since I was a young nigga coming up nigga
Ain't nobody show me love nigga, so it's fuck niggas, it's just us, nigga
[Bridge 2]
Nigga this is what that jungle do
Nigga this is what that jungle do
That jungle turned me into a monster
That jungle made me go harder
That jungle turned me to a monster
That jungle made me go harder
That jungle turned me to a monster
That jungle made me go harder
That jungle turned me to a monster
That jungle made me go harder

[Chorus]
The jungle turned me to a monster
The jungle made me go harder
Jungle turned me to a monster
Nigga this is what that jungle do
Nigga this is what the jungle do
Been plottin' nigga, wasn't you?
Should have never even fucked with you44Embed"
A Boogie wit da Hoodie,2874462,187199,639521,A Boogie wit da Hoodie,https://images.genius.com/a1dc27951b20b9c87ce90c6117670c7e.300x300x1.png,Timeless,https://genius.com/A-boogie-wit-da-hoodie-timeless-lyrics,842929,"Timeless Lyrics[Intro]
Mm, CP Dubb
Bitch, I'm really timeless
Let me beat it up like Jaegen

[Verse 1]
I cannot waste no time, bitch, I'm really timeless
I cannot leave my houses without diamonds
All the faces on my watches, jump out it
Change faces on the watches, now they frownin'
I probably spent the 100 thousand on fly shit
QP spent the 100 thousand on mileage
Bruce Lee kick it with me, I be stylin'
2 seater Bentley and it's topless
And she's topless, naked bitch driver
Papers and fronto wrapped around Sour
I cannot waste no time, bitch, I'm really timeless
I cannot waste no time, bitch, I'm really...

[Refrain]
I cannot waste no time, bitch, I'm really grindin'
If I ever said, ""I love you"", I was lyin'
I fuck with you but you was always like a side bitch
Cause I can never put nothin' over grindin'

[Verse 2]
I just left my baby girl a message
I said, I won't be comin' home
Hah, that's a dub, bitch, I'm on the road
Hah, and I need 20 thousand for a show
Hah, I ain't walkin' through your club no more
Hah, But if Lust hit me up I'll go
Hah, SpinKing that's the fuckin' bro
Hah, I fuck it up, I fuck it up some more
We switch the flow up, if you a busta I'ma cut you off
Bitch I'm goin' up
Gettin' money, what the fuck you thought?
Nigga, hold up it get ugly
I'm a fuckin boss, hah
Good now but I started off
Just a young nigga runnin' 'round and the butter soft
Try to run down on me nigga you should knock it off
I ain't get lucky mothafucka
Took a couple loses, yeah
What u sayin'? You ain't really on shit
Got zippers on my jeans like I'm Billy on this
I ain't sippin' no more lean I've been trippin' off it
I've been pissin' codeine and I ain't wit the shits, woah
Rockstar lifestyle, might not make it
Wake up faded still end up drinking
Make-up on my t-shirt, I hate it
R.I.P. t-shirts, I hate it
Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
I can't waste no time, I can't waste no time with it
I can't waste no time, bitch, I'm really timeless
I can't waste no time, bitch, I'm really timeless17Embed"
A Boogie wit da Hoodie,2423268,1005207,639521,A Boogie wit da Hoodie,https://images.genius.com/ea2d909e09e67f5bd9e159361cb4cab0.300x300x1.png,D.T.B. (Interlude),https://genius.com/A-boogie-wit-da-hoodie-dtb-interlude-lyrics,834187,"D.T.B. (Interlude) Lyrics[Part I]

[Intro]
PlugStudios
What the fuck, I'm 'posed to fall in love with you?
Bitch, I should've never even...

[Verse 1]
What the fuck, I'm 'posed to fall in love with you?
Bitch, I should've never even fucked with you
Trust issues, that shit made me feel uncomfortable
I should've never made you feel like I was stuck with you
You ever had somebody say that they was down for you?
They made it feel so real like they really down for you
They clown on you every time they turn around on you
They not loyal, they happy, they lookin' down on you
You really jacking, you don't fuck with me
Now I feel like you never kept it a buck with me
You saying I ain't the daddy, that would be luckily
I'm hoping that ain't my baby, that shit gon' fuck with me
You had me looking like a clown, bitch
That other nigga gon' fuck up running his mouth, bitch
How I fuck him up and drown him in a fountain
Leave that little nigga somewhere in the mountains

[Chorus]
But now I'm like, ""What the fuck, nigga?""
I love money, I don't love bitches
Fuck bitches, D.T.B., no, I don't trust bitches
Fuck bitches, D.T.B., no, I don't trust bitches
No kissing and even hugging
'Cause I don't wanna fall in love with it
Fuck bitches, D.T.B., no, I don't trust bitches
Fuck bitches, D.T.B., no, I don't trust bitches
[Verse 2]
What the fuck, I'm 'posed to fall in love with you?
Bitch, I just wanted to fuck with you
Thought you was cool to kick it, probably get lunch with you
I never meant for shit to get so fucking comfortable
Your niggas told you they was down for you
But when you fucked up, nigga, they not around for you
They say they with it to ride a hundred thou' for you
They clown on you as soon as they turn around on you
I salute ya, you took my bitch and you scooped her
I'm a loser, I feel like a fucking loser
Fuck the rumors 'cause I passed her back to ya
Ran through her, then I passed her back to ya
Hah!

[Chorus]
But now I'm feeling like I'm, ahh!
Fuck bitches, D.T.B., no, I don't trust bitches
Fuck bitches, D.T.B., no, I don't trust bitches
Love bitches, nah
Now I'm like, ""What the fuck, nigga?""
I don't wanna fall in love with it
I love money, I don't love bitches
Fuck bitches, fuck bitches, fuck bitches
Fuck bitches, fuck bitches, fuck bitches
Fuck bitches, my nigga, we don't fuck with ya
My nigga, we don't fuck with ya
Fuck bitches, fuck bitches, fuck bitches
Fuck bitches, fuck bitches, fuck bitches
My nigga, we don't fuck with ya
My nigga, we don't fuck with ya… why you fuck?
Fuck bitches, D.T.B., no, I don't trust bitches
Fuck bitches, D.T.B., no, I don't trust bitches
[Part II]

[Verse]
I love money, I don't love bitches
Fuck bitches, fuck bitches, fuck bitches, fuck bitches
My nigga, we don't fuck… with ya
So why you fuck with us?
I believed in you, should've told me you had a seed in you
This whole time you was frontin' and I ain't see it in you
Now I'm thinkin' what was you doin' when I ain't sleep with you
Now your toothbrush is my new Jordan cleaner
I know what a ten is, you not Serena
You was supposed to be my dream girl
Two-seater, for me and you in a Bimmer
But now you showed me not to love bitches
Now you showed me not to trust bitches
Fuck bitches, just hit it, never run wit' it
Hit the blunt
Forget about her when the blunt hit ya
Who did it? Bitch, you did it
Really thought that I was losin' it, now I'm losin'
Ever since I been in school, they been pick and choosin'
I don't know how I go through with it, I go through with it
This is stupid
But who the fuck am I to judge bitches?
I guess I never knew how to love bitches
Fuck bitches, fuck bitches, fuck bitches
My nigga we don't fuck… with ya
So why you fuck with us?
Fuck bitches, fuck bitches13Embed"
A Boogie wit da Hoodie,2447882,1767361,639521,A Boogie wit da Hoodie,https://images.genius.com/bbe4fb4339884884c937cc2697957468.300x300x1.png,My Shit,https://genius.com/A-boogie-wit-da-hoodie-my-shit-lyrics,822604,"My Shit Lyrics[Intro]
In my bag now, In my bag now (Bag now)
What the fuck is that sound? (That sound)
What the fuck is that sound? (That sound)

[Verse 1]
Brought the MAC out, niggas sat down
I got shit I never had now, I could brag now
Got my bitch a Louis bag now, she could brag now
Bought my bitch a Birkin bag now, she a brat now
Now I'm sittin' in the club in a different bag now
Baby when I pick it up you gon put that ass down
Tell 'em you don't give a fuck, baby spin that ass 'round
Tell the DJ turn it up, what the fuck is that sound?
A Boogie Wit Da Hoodie and it's always foreign
Yeah I know she like my style, them other niggas borin'
When I pull up, it go skrrt-skrrt, that's a foreign
When I pull up on a red light, they don't want it
Yeah I came up from the mud and my baby know that
Introduced her to my plug, now she think she all that
When I first hit her up, no she never wrote back
Then I saw her at the club so I got up on that

[Chorus]
Now every time they play this song she say ""This is my shit"" (This is my shit)
See the flick of my wrist (Flick of my wrist)
And I know she know wassup, baby, this is my shit (This is my shit)
See the flick of my wrist (Flick of my wrist)
[Verse 2]
They know that's my bitch, that's a fact and she stuck with me
When you in my section, fill it up when my cup empty
I can't fuck with rats, that's a fact, that's a dub nigga
All about my F, can't put water over blood, nigga
Trust me, it get ugly
If I wasn't gettin' money would you still want me?
If I told you I was broke would you start actin' funny?
This is all I ever wanted, you can't take it from me

[Chorus]
Now every time they play this song, she say ""This is my shit"" (This is my shit)
See the flick of my wrist (Flick of my wrist)
And I know she know what's up baby this is my shit (This is my shit)
See the flick of my wrist (Flick of my wrist)31Embed"
A Boogie wit da Hoodie,4096695,1505217,639521,A Boogie wit da Hoodie,https://images.genius.com/557f4ca436aaabc4210bd3850f96b954.300x300x1.jpg,Swervin,https://genius.com/A-boogie-wit-da-hoodie-swervin-lyrics,588485,"Swervin Lyrics[Intro: A Boogie wit da Hoodie & Skooly]
Uh
Yeah
Oh, that's London On Da Track, run that shit back
We got London On Da Track

[Chorus: A Boogie wit da Hoodie]
Swervin’
How you look so perfect on your worst days?
Double C your purses, you deserve it
Niggas in your DM, they be thirsty (Thirsty), and in person
But you're curvin'
Curvy little body, love your surface (Surface)
Yeah, I’m all on your body, make you nervous
I like the way you keep up with your earnings
Yeah, it's okay, 'cause you swervin'

[Verse 1: A Boogie wit da Hoodie]
I fuck you from the back and leave you turnin' (Turnin')
The type to make you feel like I'm so worth it (Worth it)
Blame my ex, that bitch, she did me dirty (Did me dirty)
Had me fall in love and then she curved me
(on God, swear to God, I don't wanna leave you, no)
New Louboutin, you would think I’m bleedin’ from my toes
Dick all inside of you, make you freeze, make you pose
I want you to get up on your knees and your toes
I see one of my enemies, they gon' freeze like they cold
I swear I ain’t no killer, but test me if you want
You don't want my adrenaline rushin', leave me alone (Leave me alone)
So much shit up on my mind, I can't think, yeah
All my niggas rock designer like they scream (Grrat)
Got the AP covered, diamonds with baguettes, yeah
I thought everything was right, that’s when you left, yeah
[Chorus: A Boogie wit da Hoodie]
Swervin' (Swervin')
How you look so perfect on your worst days? (Worst days)
Double C your purses, you deserve it
Niggas in your DM, they be thirsty (Thirsty), and in person (Person)
But you're curvin'
Curvy little body, love your surface (Surface)
Yeah, I'm all on your body, make you nervous
I like the way you keep up with your earnings
Yeah, it's okay, you be swervin'

[Verse 2: 6ix9ine]
Where these bitches at? I'm in the V with the tints
Got the FN on my body and the clip on hollow tips
Niggas say they gon' rob me and they still ain't do shit
Catch her waitin' in the lobby, I'ma give her this dick
Man, where these niggas at? Man, where these niggas at?
We gon' pull up big bodies with the Rugers in the back
I got Rugers and the MAC's, pump leave a nigga flat
Talkin' hot, we spin the block, we gon' leave him where he at

[Verse 3: A Boogie wit da Hoodie]
Like, where these niggas at? Ayy, where these niggas at?
I'ma pull up in the big body with the fuckin' MAC
If the opps try to turn my song off, run it back
Used to have the pack in my long johns, now I rap
[Verse 4: 6ix9ine]
If a nigga wanna act out, got the MAC out
I ain't got no fuckin' back-up, that's a man down
I ain't got the fuckin' forty, knock his teeth out
Spin back with the Ruger, air the block out

[Chorus: A Boogie wit da Hoodie]
Swervin' (Swervin')
How you look so perfect on your worst days? (Worst days)
Double C your purses, you deserve it
Niggas in your DM, they be thirsty (Thirsty), and in person (Person)
But you're curvin'
Curvy little body, love your surface (Surface)
Yeah, I'm all on your body, make you nervous
I like the way you keep up with your earnings
Yeah, it's okay, 'cause you swervin'

[Outro: A Boogie wit da Hoodie & Skooly]
The way that I live my life is amazing
Back to back big bodies, no more dreams, yeah
So much shit up on my mind, I couldn't think, yeah
All my niggas rock designer like they scream, yeah
Got the AP covered, diamonds with baguettes, yeah
Say my name in your song and it's lit, yeah
Been waiting for a nigga like this, yeah
We got London On Da Track28Embed"
A Boogie wit da Hoodie,4011494,7058668,639521,A Boogie wit da Hoodie,https://images.genius.com/d78bc920068fbd13c1da384382b31ff1.300x300x1.jpg,Look Back at It,https://genius.com/A-boogie-wit-da-hoodie-look-back-at-it-lyrics,560470,"Look Back at It Lyrics[Chorus]
Look back at it
She ain't never do this before, but she good at it
Said she never made love, but she good at it (She good at it)
She make a nigga feel good when I look at it (Yeah)
I get goosebumps when I look at it (Look at it)
Oh, girls just wanna have fun with it (Fun with it)
All the girls just wanna have fun with me (Fun with me)
These girls ain't really no good for me, yeah

[Post-Chorus]
Drrrat, da-da, da
Drrrat, da-da-da, da
Drrrat, da-da-um-da
Drrrat, da-da-da-um-da
Yeah, got a new Benz that I ain't promotin', yeah
All of my friends love money throwin'
Drrrat, da-da-da-um-da

[Verse 1]
Let me tell you something 'bout my life
And every single chain, and my diamond rings
The way you walkin', the way you talkin', it's all because of me
And the way I'm all on you, girl, you know it's true
The way I speak, it's my melody
Don't you ever think it's another me
Girl, on everything, it's a lot on me
I cannot be seen, I cannot be takin' apologies
Yeah, they plot on me, 'cause that bag on me
Yeah, they after me, I got racks on me
Got the stash on me, think they gassin' me
Yeah, hoodie on low but I stay focused
Yeah, it's hard to stay low when everybody notice, yeah
[Chorus]
Look back at it
She ain't never do this before, but she good at it
Said she never made love, but she good at it
She make a nigga feel good when I look at it
I get goosebumps when I look at it
Oh, girls just wanna have fun with it
All the girls just wanna have fun with me
These girls ain't really no good for me, yeah

[Post-Chorus]
Drrrat, da-da, da
Drrrat, da-da-da, da
Drrrat, da-da-um-da
Drrrat, da-da-da-um-da
Yeah, got a new Benz that I ain't promotin', yeah
All of my friends love money throwin'
Drrrat, da-da-da-um-da
Drrrat, da-da-um-da

[Verse 2]
Can I come by and vibe? (Can I?)
I get a different type of fly (Fly)
Hit a lick and split it with my guys (My guys)
Gettin' rich I'm really lit, but I (I)
Ain't shit, I admit it but I try (I try)
If I'm wrong, just tell me that I'm right
Let me tell you somethin' 'bout my life (My life)
[Outro]
Look back at it
Said she never made love, but she good at it (Good at it)
I get goosebumps when I look at it (When I look at it)
All the girls just wanna have fun with me
These girls...56Embed"
A Boogie wit da Hoodie,3073353,78276,639521,A Boogie wit da Hoodie,https://images.genius.com/27d2db348fc46c54ed078ef766348749.300x300x1.png,No Promises,https://genius.com/A-boogie-wit-da-hoodie-no-promises-lyrics,545368,"No Promises Lyrics[Intro]
Wasn't I good to you?
Cardo got wings

[Chorus]
Yeah, at least I was good to you
At least I was good to you
At least I was good to you
At least I was good to you

[Verse]
I can't make no fucking promises
Lifestyle getting out of control, lifestyle getting ludicrous
I made a milli' in less than a year and I blew that on stupid shit
Typed it in like, ""How to make a milli'"" I used to google it
Savannah just wanted to see me perform
And got hit over stupid shit
I woke up and saw the shit right on my phone
They don't know who the shooter is
You never know, never feel untouchable
I touched your soul, made you feel so comfortable
If I let you go, I would feel so skeptical
Unacceptable but I still gotta let you know
Yeah, that I can't make no fucking promises
I can't make no fucking promises, I can't make no fucking promises
Yeah, lifestyle on the road, sheesh
Used to always want a Rollie, now I want a new two-tone gold Patek
Yeah, we couldn't go to Phillipe's
I had to be on that corner until it was morning
So me and my niggas could eat
I be the one with the sauce, I never thought it was sweet
I got my foot in the door
They never gave me the key, I had to turn to a ki
Even when I was a boy
I was the man in the streets, I was the man with the heat
I was a beast, sheesh
He had her heart, but she tried to give it to me
Damn, but she can't keep no fucking promises
Shit, I'm coming with a lotta money, money comes with a lotta shit
Told Mo, ""Bring the studio to everywhere we go"" and that's a lotta hits
Slo-mo in my videos, when the lights out, all my diamonds hit
Something 'bout blue faces, I like money conversations
Whole lotta 20's that's basic, nigga, fuck it, I'm shameless
Can't fuck with a snitch nigga, if you get caught, don't say shit
Have you ever met another nigga like me? I bet you won't say shit
I went from rags to riches
I bagged the bitches that gave me the straight face
I hit the baddest bitches
It's sad but I had to curve 'em the same day
I treated them bad
I wouldn't be mad if I was to get treated the same way
So treat me the same way, same way, same way
I was a savage to you
I had to give up and put all my hoes to the side
I swear if I ever left you in the cold
It's 'cause it was colder inside
Look here, I swear if you ever try to leave me alone
I hope you don't turn to a thot
Most of the niggas that call me only hit my phone
Because I get money a lot
I be the one with the throne
You say you gon' take it but nigga we know that's a lie
Even before we was on
The money was long and we used to fuck up the spot
Bitches was singing my song
I knew I was on, right when I bust down a watch
Niggas was hating before and they hate on me now
But don't know what to say to me now
I was gonna do it to her, but I don't really wanna use her
Keep giving excuses, when we really gonna link up?
Even if I sound stupid, I'ma say what's real to her
Even if she not truthful, fuck it I'ma still be good to you
[Chorus]
Yeah, at least I was good to you
At least I was good to you
Yeah, at least I was good to you
At least I was good to you19Embed"
A Boogie wit da Hoodie,2476506,316116,639521,A Boogie wit da Hoodie,https://images.genius.com/edc6c6e4b96556149f2bc41ea903f2ba.300x300x1.jpg,Not a Regular Person,https://genius.com/A-boogie-wit-da-hoodie-not-a-regular-person-lyrics,508241,"Not a Regular Person Lyrics[Intro]
Ness on the beat
I'm not a regular person

[Verse 1]
Done with the perkys
I don't even feel like it's working
I was playing the bench, I was lurking
On the block where they plotting on murking
You don't even know I was hurting
I was fucked up, a bitch had me hurting
And I think she did it on purpose
I can't fuck with the hate, I'm allergic
I feel like they had me on standby
See the pain in my damn eyes
I got out of jail and my mans died
I never sleep, I'm a vampire
I'm not a regular person
I can't be giving out verses
I'm making the industry nervous
I'm still working through all the disturbance
I'm done with these Balenciagas
They keep on fucking my socks up
Nothing but foreigns behind us
We used to pull up in the Honda
Now every time that we pop up
We got to pull up in designer
We doing it just to remind us
To never go back to the bottom
They started off hating on me
Everybody debating on me
A nigga wrote a statement on me
My life, they want to take it from me
So I got a .380 on me
It ain't never on safety, I be
Having all of this paper on me
I just hope you praying for me
I can tell you what happened
The streets turned me into a savage
I started off juggin' and trapping
Watch a couple a niggas get blasted
Way too much blood for a napkin
Won't nobody tell you what happened
I'm good when you see me in traffic
Automatic in the Benz 4matic
In the S550 I'm speeding
Nigga you wouldn't believe it
I came up from nothing I mean it
Now I'm living everything I was dreaming
I'm killing, I feel like I'm cheating
They kept on giving me reasons
Can't nobody get in between us
Only us, I put that on everything
[Chorus]
Fuck it up, fuck it up now
My nigga, it's just us now
Every Rollie getting bust down
Young niggas repping uptown
I was down but I'm up now
Fuck around with them fuck 'rounds
Ain't no pounds or ""what's ups"" now
Pretty bitches hit me up now

[Verse 2]
I got on Saint Laurent, come here baby
I just wanted some company baby
I don't want you to feel like I'm playing
Can I fuck you without you complaining?
Got no time for a lunch with you baby
I get bread, what the fuck is you saying?
I get fly on any different occasion
I be in and out of different locations
I can't stop, I put on for this
Swear to god I put on for this
Had to move out my mama's crib
Had to put in overtime for this
I can brag cause I'm confident
I'm the man, ain't no stopping it
I don't got to wait for a shopping list
I want to body a fit then I'm copping it
[Chorus]
I fuck it up, fuck it up now
Every Rollie getting bust down
Young niggas repping uptown
I was down but I'm up now
Ain't no pounds or ""what's ups"" now
My nigga it's just us now
I'm not a regular person, I'm not a regular person
I'm not a regular person, I'm not a regular person
I'm not a regular person8Embed"
