artist,id,lyrics_owner_id,primary_artist_id,primary_artist_name,song_art_image_thumbnail_url,title,url,pageviews,lyrics
Lil Durk,2361518,104344,21964,Lil Durk,https://images.genius.com/b08356c6e49287cd2c63608483a78c34.300x300x1.png,My Beyoncé,https://genius.com/Lil-durk-my-beyonce-lyrics,785621,"My Beyoncé Lyrics[Chorus: Lil Durk]
Ooh, I like the way she move
Shorty my baby, my everything, she the truth
Together we cool, me and her can't lose
Keep 'em on their feet, baby, I know they so confused
Shorty my Beyoncé
Durk and DeJ, Durk and DeJ, Durk and DeJ
Shorty my Beyoncé
Durk and DeJ, Durk and DeJ, Durk and DeJ
My Beyoncé

[Verse 1: Lil Durk]
Trippin' on that drank, but I know she worth it
Independent baby, I know she workin'
Adriana's serving drinks, 20 bottles, urgent
I know it can be better but nobody's perfect
We flirted for a minute, DeJ, that's my baby
I ain't trippin', I'm like Henny, yeah I'm in her kidneys
She like to play her songs to the way I'm hittin' it
Turn around like, ""Damn Durk, I like the way you hittin' it""
Don't believe the rumors, girl
You know I'll do you, girl
I don't wanna hear the shit about the niggas
That tried to do you, girl
Fuck the past right now
Shawty got you right now
And you hot right now
You can get it right now, baby
[Chorus: Lil Durk]
Ooh, I like the way she move
Shorty my baby, my everything, she the truth
Together we cool, me and her can't lose
Keep 'em on their feet, baby, I know they so confused
Shorty my Beyoncé
Durk and DeJ, Durk and DeJ, Durk and DeJ
Shorty my Beyoncé
Durk and DeJ, Durk and DeJ, Durk and DeJ
My Beyoncé
[Verse 2: DeJ Loaf]
I let him get it when he want it, knock it down and push up on it
I was plottin' for a while, now I got him where I want him
They didn't understand none of this was planned
99 problems but a bitch better not be none
Na na, na na, yeah yeah
This ain't what he want, I told him that
Leave your girl, be through with that
Get with DeJ, he ain't ever goin' back
He was shy when I seen him, now he smile
Heard a few rumors but they ain't my style
I be hatin' when he out of town
Hotel, I FaceTime you, no towel
They ain't get it but they ain't our problem
What the fuck can they do about it?
Durk and DeJ
I'm thinkin' 'bout changin' my last name
[Chorus: Lil Durk]
Ooh, I like the way she move
Shorty my baby, my everything, she the truth
Together we cool, me and her can't lose
Keep 'em on their feet, baby, I know they so confused
Shorty my Beyoncé
Durk and DeJ, Durk and DeJ, Durk and DeJ
Shorty my Beyoncé
Durk and DeJ, Durk and DeJ, Durk and DeJ
My Beyoncé

[Verse 3: Lil Durk]
You and I
White dress, flowers, and a suit and tie
Me and you like Bonnie and Clyde
No beat the case, we're do or die
Who am I to say you ain't natural?
Your haters my haters, ain't switchin' up, baby, I got you
I'm with her like a tattoo
The way you wear that dress, they gon' attack you
The way you look at me, baby, I got you
I hit it from the front, I like the back too
She say, ""Lay down so I can ride you""
I know that she fiending
She scratchin' my back, I like how she screamin'
I fuck her and leave her, she fiending
Shawty my Beyoncé
[Chorus: Lil Durk]
Ooh, I like the way she move
Shorty my baby, my everything, she the truth
Together we cool, me and her can't lose
Keep 'em on their feet, baby, I know they so confused
Shorty my Beyoncé
Durk and DeJ, Durk and DeJ, Durk and DeJ
Shorty my Beyoncé
Durk and DeJ, Durk and DeJ, Durk and DeJ
My Beyoncé

[Outro: Lil Durk]
Ooh, ooh
Durk and DeJ, Durk and DeJ, Durk and DeJ
Ooh, ooh43Embed"
Lil Durk,5534744,498964,21964,Lil Durk,https://images.genius.com/cd133d85bc18c13ea10578ea6183a007.300x300x1.png,3 Headed Goat,https://genius.com/Lil-durk-3-headed-goat-lyrics,491743,"3 Headed Goat Lyrics[Intro]
(Aviator)

[Chorus: Lil Baby]
These ain't no Guess jeans
I dropped out of school, I'm still good at math, but, nigga, don't test me
I played to the left, they went to the right, they tried to finesse me
Still riding 'round with that blicky, I hope they don't catch me
Police had raided our spot, so we went to the next street
Play like I'm dumb, as soon as it pop, I'm goin' retarded
He say I'm hard and he say I'm garbage, I'm rich regardless
We in Miami in the middle of the winter, and we on them jet skis
If we in Atlanta, I'm runnin' the 'Cat and I'm workin' the red key

[Verse 1: Lil Durk]
I cannot mention my homies inside of my song 'cause I know they be trappin' a lot
I can't keep takin' these pills, when I'm in the trenches, they say I be cappin' a lot
I know a nigga who say he got rich off the dope, but I know he be actin' a lot
I know some niggas who said that they took down the city, but niggas be lackin' a lot
Yeah
That shit was awful, nigga had that dog food
That day they shot you, I slid on a Mongoose
You cannot come back around me, you turned your back on me, I cannot forget
The police was lyin', they say that they caught you, but nigga, they made you admit
Your name was found, you put in that work, they took your stick, you a bitch
Fuck my opps, they be on my dick, they all be mad we rich (Turn up)
[Verse 2: Lil Baby]
Only twenty-five, livin' like a boss, ridin' 'round with a chauffeur
I don't sell drugs, still be paranoid, keep lookin' over my shoulder
Niggas lyin' like I'm stealin' swag, boy, that's my shit like I wrote it

[Verse 3: Polo G]
Uh
These rappers really nice as hell
I'm a different nigga when I'm pissed off
Man, he say he gon' press up on who?
I'ma get the steel like I'm Chris Paul
Back to back suburbans, I'm a big dawg
I was in the slums servin' Fentanyl
Zombieland, junkies havin' withdrawals
I been gettin' to it, lotta missed calls
Turn it off, what the fuck is he talking 'bout?
I should slap you for sayin' he hot as me
I don't know who could fuck with me honestly
They know I'm the man, so they watchin' me
Different color bands like Monopoly
Man, he must not be usin' his head
If he thinkin' I don't keep a Glock with me
That's like suicide if you play with us
Got a better chance at the lottery
Call an ambulance when that chopper sweep
Make the crowd dance, choreography
Once I got a plan, ain't no stoppin' me
Three-car garage, million-dollar crib
With a foreign bitch ridin' on top of me
Lot of people done said I wouldn't be shit
Well, I guess they owe me an apology
[Chorus: Lil Baby]
These ain't no Guess jeans
I dropped out of school, I'm still good at math, but, nigga, don't test me
I played to the left, they went to the right, they tried to finesse me
Still riding 'round with that blicky, I hope they don't catch me
Police had raided our spot, so we went to the next street
Play like I'm dumb, as soon as it pop, I'm goin' retarded
He say I'm hard and he say I'm garbage, I'm rich regardless
We in Miami in the middle of the winter, and we on them jet skis
If we in Atlanta, I'm runnin' the 'Cat and I'm workin' the red key37Embed"
Lil Durk,3279417,254627,21964,Lil Durk,https://images.genius.com/d10e6e48f9e2f69f478482f03a493ce9.300x300x1.png,India,https://genius.com/Lil-durk-india-lyrics,432579,"India Lyrics[Chorus]
Don't wanna pretend with you
Talking India
I wanna do everything under the sun
I wanna do everything just one-on-one
Ain't have relationships since '09
I want this shit right now can't waste time
She so different, she so different
She so different, she so different
She so different, she so different
She so different, she so different

[Verse 1]
I can't lie, I can't tell my guys
That I'm in love and I feel so shy
And we both turnt up we from the Chi'
But I don't ask about her other guy
I just wanna eat you alive
Be seen with you just put me in your line
These niggas be hating don't want me in your life
You gon' hear stories about me that shit ain't right
The way you lick your lips
The way you bite 'em
The way you answer your facetime I like 'em
I don't got no hoes no more, I'm show you
When she make me go down low hear my vocals
She just think I'm talking
I can tell by her discussion
She only fuck with bosses
I can tell by her discussions
She fuck my head up
Feel like I got concussion
Them percs I swallow make me want you I'm just honest
I can't lie no more
Late night don't hang out with my guys no more
And you fine ain't gotta be finer no more
I found her ain't gotta find her no more
She found me in the trenches with hella bitches
It started in her DM I had to get it
[Chorus]
Don't wanna pretend with you
Talking India
I wanna do everything under the sun
I wanna do everything just one-on-one
Ain't have relationships since '09
I want this shit right now can't waste time
She so different, she so different
She so different, she so different
She so different, she so different
She so different, she so different

[Verse 2]
I wanted you and you knew this shit
Won't brag you with no money cause you used to it
I say I want a wife they say I'm losing it
Before we move too fast we was cooling it
Durkio, I'mma make you scream my name, Durkio
This shit ain't for the fame, Durkio
Too real, too real for games, Durkio
I never been a lame, I just stay in my lane
She can get designer she don't want it
She just wanna stay too plain
I like her she not goofy, she only like real niggas not no goofies
She about her paper, that blue cheese
She tweeted about a nigga and it blew me
I know what I gotta do
I know what I gotta prove
I just know what I gotta get
I know I gotta improve
See I had that young mind young mind
I had a young mind young mind
[Chorus]
Don't wanna pretend with you
Talking India
I wanna do everything under the sun
I wanna do everything just one-on-one
Ain't have relationships since '09
I want this shit right now can't waste time
She so different, she so different
She so different, she so different
She so different, she so different
She so different, she so different9Embed"
Lil Durk,3614662,54639,21964,Lil Durk,https://images.genius.com/a071b89cb5a2983b5275e365f31bef7e.300x300x1.png,Home Body,https://genius.com/Lil-durk-home-body-lyrics,388260,"Home Body Lyrics[Intro: Lil Durk]
DY Krazy
Diamond around

[Chorus: Lil Durk]
Baby, when I smash you, put your back in it
Get that first nut, then I'm back in it
Can you go deep? You keep asking it
Don't take a whole Perc', she want half of it
Drug sex, drug sex, yeah, yeah
Rich sex, rich sex, yeah, yeah
I know you nasty
She be touchin' on her own body

[Verse 1: Lil Durk]
Don't like no outside bitch, I like a home body
First time me fuckin', I told nobody
Thought she was a Pretty Ricky bitch but she like Yo Gotti
Thinkin' she a pretty decent bitch but she a ho probably
A trip from LAX, she took some coke probably
Wait 'til we leave Dubai then show her Coke body
Drug sex, I might fuck her off a Xanax
Stay woke, you can't take it, I'm not in yet
That rough sex get her goin'
You not gon' tell me 'bout no baby 'til you showin'
I got a lil' ho at V-Live
She got her butt tatted on each side
I like her, she a boss and she don't D ride
And I wear the pants, she don't decide
Don't talk about your ex, you know he mad
Bad bitch, you conceited
[Chorus: Lil Durk]
Baby, when I smash you, put your back in it
Get that first nut, then I'm back in it
Can you go deep? You keep asking it
Don't take a whole Perc', she want half of it
Drug sex, drug sex, yeah, yeah
Rich sex, rich sex, yeah, yeah
I know you nasty
She be touchin' on her own body

[Verse 2: Gunna]
You my bitch, I can't share you with nobody (Yeah)
My whips just like my women 'cause they all exotic (Exotic)
We been fuckin' for a year, they still don't know about it (Don't know about it)
All the flights are private, got a personal pilot (Personal pilot)
Put my dick, I let her ride it, gotta go deep inside (Deep inside)
Pussy wetter than a Patek, it's drippin' off her body (Off your body)
Turn the cameras on my neck, you think a light done blind you (Light done blind you)
Put you in a three-star penthouse suite but can't nobody find you (Can't nobody find you)
Two Teslas, havin' drug sex, yeah, yeah (Yeah, yeah)
Percocets, perco-sex, yeah, yeah (Perco-sex)
Suckin' dick, with no hands (With no hands, yeah)
Use no hands if you callin' him, yeah, yeah

[Verse 3: TK Kravitz]
I see you yellin' out my name but you ain't sayin' shit
No, you ain't sayin' shit, you don't know who you playin' with (Oh, no)
I might die up in that pussy, I might overdose (Yeah)
And you know I'm ridin' with you 'cause we hella close (Yeah)
Got the baddest bitch in it, I don't mean to boast (Yeah)
Champagne every day, we don't need to toast (Yeah)
A young nigga stayin' solid, I don't do the most (Oh, no)
So baby fuck me good before I go ghost (Woo)
[Chorus: Lil Durk]
Baby, when I smash you, put your back in it
Get that first nut, then I'm back in it
Can you go deep? You keep asking it
Don't take a whole Perc', she want half of it
Drug sex, drug sex, yeah, yeah
Rich sex, rich sex, yeah, yeah
I know you nasty
She be touchin' on her own body17Embed"
Lil Durk,235678,263198,21964,Lil Durk,https://images.genius.com/fd08fd092ad0eb219998469d1c8157dc.300x300x1.png,Bang Bros,https://genius.com/Lil-durk-bang-bros-lyrics,363815,"Bang Bros Lyrics[Verse 1]
I got cash and they mad, I pull up in that Jag'
My shoe red, your boo mad 'cause I'm shitting on they ass
I got cash, I pop tags, rob me, pop your ass
I stay flee, I'm the man, video on demand
Stripper bitches, fat ass, fire face, you that mad
Smoking dope that gas, savager hammertime
Calling up Jason Nine, STR8 down the drive
Thick bitches down to ride, that's why they mad at me
Ten dicks to meet the president now
Gotta do the whole squad to be the shit now
I got a deal, thinking I'm the shit now
I'll never change, never wife a bitch now

[Chorus]
You wanna meet the president? You gotta meet the bang bros
Hella bank rolls, all them bank rolls ain't yours
Spending, flexing, so much cash that it can't fold
Up and coming rappers, man, I don't see those
Boy, all that cuffing you should be a P.O
So much designer shit that I can give away clothes
All these new niggas, all that shit rapping is old
To meet the president, you gotta meet the bang bros

[Verse 2]
Hold up, they know we shit like sure enough
Can't sleep on us like pour up
Hole in them just like donuts, we go nuts
D-Thang shares thots, SB shares thots, Chino shares thots
But I can't wife a thot
See it's levels to this shit
She fuck the bang bros and you married to this bitch
A salad, I got all types of carats on my wrist
One night, I don't need a lot of shit
These bitches is crazy, these bitches amaze me
These niggas don't phase me, money and the streets raised me
The industry crazy, just a problem
I'm a young nigga, I'm just chasing me some dollars
[Chorus]
You wanna meet the president? You gotta meet the bang bros
Hella bank rolls, all them bank rolls ain't yours
Spending, flexing, so much cash that it can't fold
Up and coming rappers, man, I don't see those
Boy, all that cuffing you should be a P.O
So much designer shit that I can give away clothes
All these new niggas, all that shit rapping is old
To meet the president, you gotta meet the bang bros85Embed"
Lil Durk,7254908,5748418,21964,Lil Durk,https://images.genius.com/2ecda996ca5b95e1cd3797513d2207af.300x300x1.png,Broadway Girls,https://genius.com/Lil-durk-broadway-girls-lyrics,338139,"Broadway Girls Lyrics[Intro: Morgan Wallen & Lil Durk]
2 AM at a Broadway bar
She's puttin’ her number in my phone (Broadway girls alone)
Two Bud Lights deep, and she's sayin' things she don’t mean
And you know

[Verse 1: Morgan Wallen]
I met her down at Aldean's
She said that she saw me walkin' in about a mile away
Bean just had to take her phone and that just took her smile away
She said I'm too drunk and crazy, she don't like the way I dance
I said, ""You don't have to join in,"" she said she'd take a chance
I've been kinda crazy ever since it went down
I get kind of lost, and, baby, this what I found
Girls like you just wanna take me around, around and around

[Chorus: Morgan Wallen & Lil Durk]
Oh, there’s two things that you’re gonna find out
They don't love you and they only love you right now
If I was smarter, I’da stayed my ass at home
And leave them Broadway girls alone (Leave 'em alone, leave 'em alone)
Them Broadway girls alone (Leave 'em alone, leave ’em alone)
Leave them Broadway girls alone

[Verse 2: Lil Durk]
They town just told me, ""Don't trust 'em""
Broadway girls a trap
They on me, they tryna finesse me
They see me with Morgan and know that I rap
My horse is Porsches, turnin' me on
I jump on a horse, she get on the back
I went to the bar to go buy her a drink
She listen to P!nk, she told me she not into rap
I can't run out of money
The trenches love me forever
They treat me like Ed in London
Take her to pool, then got a beer for nothin'
Tecovas boots, guitar, cigar, the bar
She ridin' a bull like cars, she usually don't cool with stars
[Chorus: Morgan Wallen]
Now, there's two things that you're gonna find out
They don't love you and they only love you right now
If I was smarter, I'da stayed my ass at home
And leave them Broadway girls alone
Broadway girls, Broadway girls
Them Broadway girls alone
Broadway girls, Broadway girls
Them Broadway girls alone

[Bridge: Morgan Wallen & Lil Durk]
Oh, think I oughta settle down
And find me somethin' I can take back to my hometown, oh
But I told 'em that I'm savage
They just tryna tell me there's

[Chorus: Morgan Wallen]
There's two things that you're gonna find out
They don't love you and they only love you right now
If I was smarter, I'da stayed my ass at home
And leave them Broadway girls alone
Two things that you're gonna find out
They don't love you and they only love you right now
If I was smarter, I'da stayed my ass at home
And leave them Broadway girls alone
Broadway girls, Broadway girls
Them Broadway girls alone
Broadway girls, Broadway girls
Leave them Broadway girls alone
[Outro: Morgan Wallen]
'Lone, 'lone, Broadway girl
'Lone, 'lone, Broadway girls alone
'Lone, 'lone, Broadway girls
Broadway girls, Broadway girls alone8Embed"
Lil Durk,3358651,3076317,21964,Lil Durk,https://images.genius.com/b0e79e3174ebba338b697595a029fb9a.300x300x1.png,No Standards,https://genius.com/Lil-durk-no-standards-lyrics,284703,"No Standards Lyrics[Intro]
Chopsquad

[Chorus]
I can't get over my pain
Make you feel better
Fuck with niggas I know
Won't make you feel better
This is a lifestyle that I live
Fuckin' with these different bitches
And you tryna break my heart
Fuckin' with these different niggas
You know you can't get over me
You know you can't get away from me
You know bitches dont play with me
You know you know

[Verse 1]
I know the consequences of my actions
This shit real I ain't even just rappin'
Fuckin' with niggas that I know get back
How I know that boy ain't smash
I know you with him cause he gotta sack
You say you don't like no feelings attached
I know that you lied can't mix shit with facts
Ho
You think ima run back to you that shit dead
Tell 'em how me and you be textin' each other yeah
So you told me you wouldn't fuck him
Know you lyin' why you scared
You know I gotta bitch, don't open your message, leave you on read
Can't talk to you like I used to
Can't see me you gotta pull up YouTube
Even though my situation you lose
Fuckin' with your friend ex, nigga you screwed
I know you tryna figure out who I'm talkin about
I told you imma spazz told me put the guns down
You got 'em around your kids when they ain't around
I can fuck on who I want, I'm famous now
Got yo friends all in yo ear sayin' that I'm bad
And you keep on listenin' it make me mad
Keep on reminiscing make me want to slide
It seem like that you sold your heart for a bag
[Chorus]
I can't get over my pain
Make you feel better
Fuck with niggas I know
Won't make you feel better
This is a lifestyle that I live
Fuckin' with these different bitches
And you tryna break my heart
Fuckin' with these different niggas
You know you can't get over me
You know you can't get away from me
You know bitches dont play with me
You know you know

[Verse 2]
Fuck this shit
You broke my heart so many times I was like fuck a bitch
I just wanna get the money nigga for the fuck of it
Fuck them other niggas that you fuck with I don't fuck with them
Tell your brother stay from around me cause I don't fuck with him
They don't really want no war with me it ain't enough of them
You barely kinky but you a slut for him
You ain't even that mean, but you tough for him
You had me soft I couldn't function it
Only gave me pussy, wasn't suckin' it
I heard the rumors who you fuckin' with
I wish I found out sooner that you a dirty bitch
Back to the basics, lets speak facts
I was with you when I was sippin' act
I doped you up you has menthol swag
Square, I don't ever wanna see yo ass
Yea, I know imma dog that shit ain't fair
Thought I'll be mad I don't even care
Now I put my new bitch on the Lear
Diamonds in the air like chandeliers
If she around then I'm aware
You say ''only him,'' you lyin' again
Bluetooth in the coupe you need to pair
That hoe shit was in the air
If your friends a ho then you's a ho
Wherever you go I know they go
Don't follow your dream you follow bankrolls
Yo ass so fake thought you was ten toes
[Chorus]
I can't get over my pain
Make you feel better
Fuck with niggas I know
Won't make you feel better
This is a lifestyle that I live
Fuckin' with these different bitches
And you tryna break my heart
Fuckin' with these different niggas
You know you can't get over me
You know you can't get away from me
You know bitches dont play with me
You know you know2Embed"
Lil Durk,141195,149650,21964,Lil Durk,https://images.genius.com/5acf6ab7a788596410756609ddec944a.300x300x1.png,Dis Ain’t What U Want,https://genius.com/Lil-durk-dis-aint-what-u-want-lyrics,283090,"Dis Ain’t What U Want Lyrics[Intro]
Bueller, Bueller
Bueller, Bueller
Band
Bandkamp

[Chorus]
Tell me what's it gonna be, if dis ain't what you want
I call it how I see it, so, dis ain't what you want
I'm on the road, doin' shows, so wealthy, dis ain't what you want
Hit the road, you can go, I know, dis ain't what you want
I hear them niggas after me, but dis ain't what you want (Dis ain't what you want)
And I guarantee, dis ain't what you want
I'm from the land, where ain't no lackin' at, dis ain't what you want
I wrap 'em up, we get it done 'cause dis ain't what you want (L's)

[Verse 1]
Niggas claim that they're after me, but dis ain't what they want
'Cause I hopped into this industry, dis ain't what they want
See this rap shit ain't shit to me, dis ain't what they want
I got the police all into me, dis ain't what they want
In my own city they hate on me, put weight on me
Fuck TMZ, fuck breaking news and ABC
I can't do no shows 'cause I terrify my city
They say I terrify my city
Niggas gettin' slumped, we the first to get blamed
A nigga try us, he the first one to get changed
They say he snitch, tryna put dirt on my name
They ride on me, ask is Lil Durk my name (L's)
[Chorus]
Tell me what's it gonna be, if dis ain't what you want
I call it how I see it, so, dis ain't what you want
I'm on the road, doin' shows, so wealthy, dis ain't what you want
Hit the road, you can go, I know, dis ain't what you want
I hear them niggas after me, but dis ain't what you want
And I guarantee, dis ain't what you want
I'm from the land, where ain't no lackin' at, dis ain't what you want
I wrap 'em up, we get it done 'cause dis ain't what you want (L's)

[Verse 2]
Daddy doin' life, snitches doin' months
I'm screamin' free the real 'cause dis ain't what you want
A nigga claim 300, add a K, you done
I'm really in the field 'cause this is what I want (This what I want)
I'ma turn the streets up, this is a anthem
Niggas hate on my squad, I tell 'em step the shit up (L, Ls)
Same since day one and I can't change up
After all of the gossip, I'll still a-change some
Fuck-niggas don't want none (Niggas don't want it)
They don't want it
Same niggas since day one (Day one)
Nigga, I'm 3Hunna (L, L's)

[Chorus]
Tell me what's it gonna be, if dis ain't what you want
I call it how I see it, so, dis ain't what you want
I'm on the road, doin' shows, so wealthy, dis ain't what you want
Hit the road, you can go, I know, dis ain't what you want
I hear them niggas after me, but dis ain't what you want
And I guarantee, dis ain't what you want
I'm from the land, where ain't no lackin' at, dis ain't what you want
I wrap 'em up, we get it done 'cause dis ain't what you want (L's (L's))56Embed"
Lil Durk,3252315,2657386,21964,Lil Durk,https://images.genius.com/4044e33c245ed2ea9bdd2a6ca9ec3dd7.300x300x1.png,Make It Out,https://genius.com/Lil-durk-make-it-out-lyrics,262474,"Make It Out Lyrics[Intro]
But if I call you my brother that mean you my brother, you know what I'm sayin'?
Nothin' more, nothin' less, family
I been hearing too many rumors in these streets niggas tryin' kill us, rob us all that
What's up with that?
But it be the niggas that been around us, you know what I'm sayin'?
Or be around us
We ain't gon' slip up, we ten toes
Remy
You know what I'm sayin' we gotta make it out
That's how they gon' get it

[Chorus]
I get so high I put these drugs into my system
I love you with all my heart, ain't no probably
You choose your life over your son, that shit killed him
I never asked you for anything, just your honesty
How you trade on me like that? I'm your family
And she tried to chase a bag before I had to leave
But two wrongs don't make it right
Get with your dog and make it right

[Verse 1]
We do pop-ups, had my back when I was locked up
I was Glocked up
Niggas hate 'cause they can't stop us (No no)
We was turnt up, gang war can't knock us
Sliding in them DMs, tryna slide up on the oppas, yeah
I'm so nauseous off them drugs, too high off them percocets
Tryna follow behind my cousin, I wasn't focused yet
We would rob the robbers, kill the killers, label us a threat
Extort your big homie, like we from LAX
I was so high, I wish I replied to L'A's text
But we had jumped into them streets and made a mess
I was dressing my homies up for they funerals
Holding on they OGs tight, they did the most
Ducking from investigation, trying to keep my reputation
Give them my expiration, looking for inspiration
Pray for my generation, fuck Trump, them bitches racist
Bought 'Raris just to race it, yeah yeah
[Chorus]
I get so high I put these drugs into my system
I love you with all my heart, ain't no probably
You choose your life over your son, that shit killed him
I never asked you for anything, just your honesty
How you trade on me like that? I'm your family
And she tried to chase a bag before I had to leave
But two wrongs don't make it right
Get with your dog and make it right

[Verse 2]
Joke and laugh all day to stop from crying
Keep my gun on me to stop from dyin'
Can't listen to no rumors 'cause it block my mind
Can't feed into that bullshit ain't got the time
I know what I did boy, this life I enjoy
Why you pretend boy, this shit I live for it (Uh huh)
You was hooked on drugs, I was hooked on phonics
Signed to the street,s I ain't never go to college
Asked you for cash, you ain't never say you got it (Damn)
But I gave you my last, yeah
And I'm the same nigga since last year
I told my momma I can't go down for this case
Got the same lawyer, beat R. Kelly piss case
State's attorney want me so bad
At the time I need you bad
Told myself ain't going back
Told myself can't go like that
[Chorus]
I get so high I put these drugs into my system
I love you with all my heart, ain't no probably
You choose your life over your son, that shit killed him
I never asked you for anything, just your honesty
How you trade on me like that? I'm your family
And she tried to chase a bag before I had to leave
But two wrongs don't make it right
Get with your dog and make it right8Embed"
Lil Durk,730987,172030,21964,Lil Durk,https://images.genius.com/d791a93797a15c35a2c3a0755d4e5666.300x300x1.jpg,Like Me,https://genius.com/Lil-durk-like-me-lyrics,253603,"Like Me Lyrics[Intro]
Let's get it
Eh ohh
No oh

[Chorus: Jeremih]
She don't know about real niggas, she don't know no boss
She don't know about foreign cars, she don't what that cost
She don't know about love, she don't know what that is
She don't know about riding 'round and spending it like this (Now she wanna fuck)
Fuck with a nigga like me, wanna fuck with a nigga like me
Now she wanna fuck
Fuck with a nigga like me, wanna fuck with a nigga like me
Hit the club with a nigga like me
Do drugs with a nigga like me
Fall in love with a nigga like me
And never love another nigga, never love another nigga like me
(Me, me)
Buck!

[Verse 1: Lil Durk]
Have you ever met a Chi-Town nigga?
Girl I heard you need a go-getter
You ain't never meet a rapper with the swag of a savage and a dope dealer
I'm the realest nigga that you see
I know you tired of them broke niggas
Heard he bought you a bag for a G
Why you fuckin' with them broke niggas?
Ginger ale and a fifth of liquor
Where you going, girl? I'm going with ya
Ride with me 'cause I'm number one
Two bitches, Malcolm in the middle
Fly to Vegas, bet life
Legs in the air, call it ""jet life""
Shawty give me top with the neck like
Shit gave me life, I can't get right, I can't get right
[Verse 2: Jeremih]
Got you jacuzzi water on a hundred
Got your tempo on a hundred, let it bubble up (Bubble up, bubble up, bub)
Need a bad bitch, tryna be a bad girl
You know I'm tryna trouble up (You know, I'm tryna trouble up, shawty)
Buy everything she wants two times, baby, double up (Know you really want it)
Say she need more niggas out here like me 'cause there's not enough (Not enough, not enough, no, no)

[Chorus: Jeremih]
She don't know about real niggas, she don't know no boss
She don't know about foreign cars, she don't what that cost
She don't know about love, she don't know what that is
She don't know about riding 'round and spending it like this (Now she wanna fuck)
Fuck with a nigga like me, wanna fuck with a nigga like me
Now she wanna fuck
Fuck with a nigga like me, wanna fuck with a nigga like me
Hit the club with a nigga like me
Do drugs with a nigga like me
Fall in love with a nigga like me
And never love another nigga, never love another nigga like me
(Me, me)

[Verse 3: Lil Durk]
You ain't never been in my town, nigga
A good place to go but the murder rate's so ridiculous
Fell in love with some R&B bitch
And I know that it's good for the fame and for the image
Shawty gave me head like a penny
But she should go gold
Ain't really been in love in a minute
It won't hurt if no one know 'bout me
Fuck a bag off
No makeup, you look better with your mask off
Rich nigga wanna buzz, like to brag y'all
But a nigga like me, ain't no nigga like me
I'm a Boss, Hugo
Rich nigga since birth, you know
You my bitch don't get mad, Cujo
Nigga like me, I'm that nigga, nigga
Gettin' money since a little nigga
Shawty thinks she the shit, but she could be a lil' thicker
Fuck on my name and a little liquor
I got 'em pissed, I'm the shit, nigga
So why do they hate? I gotta get cake
These niggas so fake
So stay out my way (My way)
Ain't too many niggas like me
[Chorus: Jeremih]
She don't know about real niggas (Yeah), she don't know no boss
She don't know about foreign cars, she don't what that cost
She don't know about love, she don't know what that is
She don't know about riding 'round and spending it like this (Now she wanna fuck)
Fuck with a nigga like me, wanna fuck with a nigga like me
Now she wanna fuck
Fuck with a nigga like me, wanna fuck with a nigga like me
Hit the club with a nigga like me
Do drugs with a nigga like me
Fall in love with a nigga like me
And never love another nigga, never love another nigga like me
(Me, me)106Embed"
