artist,id,lyrics_owner_id,primary_artist_id,primary_artist_name,song_art_image_thumbnail_url,title,url,pageviews,lyrics
Oxxxymiron,525445,670,24422,Oxxxymiron,https://images.genius.com/d00d19ccb9afa1b4be702b923ea8087b.300x300x1.png,Город под подошвой (City Under the Sole),https://genius.com/Oxxxymiron-city-under-the-sole-lyrics,1684826,"Город под подошвой (City Under the Sole) Lyrics[Текст песни «Город под подошвой»]

[Интро]
Эй
Scady
Йо

[Куплет 1]
Дон ли, Волга ли течёт — котомку на плечо
Боль в груди — там тайничок, открытый фомкой, не ключом
Сколько миль ещё? Перелет короткий был не в счёт
Долгий пыльный чёс, фургон набит коробками с мерчом
Верим, подфартит, наши постели портативны
Менестрелю два пути: корпоратив или квартирник
Схемы однотипны, все теперь MC
Ведь, смену породив, мы здесь достигли смены парадигмы
Теперь рэп — многопартийный; бэттлов наплодив
Я смотрю в зеркало по типу: «Сколько бед наворотил ты!»
Я б весь рэп поработил, но всё время в пути
У индустрии нервный тик, валокордин — стенокардийным
Соберите суд, но победителей не судят
Мы первые кроманьонцы — мы выбились в люди
Не пизди! Я кладу на вас, челядь, пятикратно
Ведь мы выступаем сильно, будто челюсть питекантропа

[Припев]
Весь мой рэп, если коротко, про то, что
Уж который год который город под подошвой
В гору, когда прёт; потом под гору, когда тошно
Я не то, чтоб Гулливер, но всё же город под подошвой
Город под подошвой, город под подошвой
Светофоры, госпошлины, сборы и таможни
Я не знаю, вброд или на дно эта дорожка
Ты живёшь под каблуком, у меня город под подошвой
[Куплет 2]
Мимо тополей и спелого хлеба полей
Где привидение Есенина, крест, молебен, елей
Из минивэна вижу землю, вижу небо над ней
Мы всё преодолеем — если нет, то я не водолей
Наша земля топит одиночек как щенят
Был чужой, но Охра, Porchy, Илья — больше, чем семья
Бомбу ночью сочинял, что есть мочи начинял
Я так хотел принадлежать чему-то большему, чем я
Мир пустой, хоть с каждым вторым перезнакомься
Я не биоробот с позитивной лыбой комсомольца, эй
Избавь меня от ваших панацей, домашний Парацельс
Ведь для меня ебашить — самоцель
Подустал? Нам насрать! Тони Старк как стандарт
Пара стран, автострад: Краснодар, Татарстан, Москвабад
Паспорта, гам эстрад — нарасхват
Хоть по МКАД'у на старт, хоть на Мадагаскар (Ты знаешь!)

[Припев]
Весь мой рэп, если коротко, про то, что
Уж который год который город под подошвой
В гору, когда прёт; потом под гору, когда тошно
Я не то чтоб Гулливер, но всё же город под подошвой
Город под подошвой, город под подошвой
Светофоры, госпошлины, сборы и таможни
Я не знаю, вброд или на дно эта дорожка
Ты живёшь под каблуком, у меня город под подошвой
[Куплет 3]
Дай силёнок тут не свернуть и не сломаться
Есть маршрут и есть на трассе населённый пункт
И там нас сегодня ждут; нытик, не будь женственным
У Руслана в деке саундтреки к путешествию
Снова ебло заспано, снова подъём засветло
Снова броник, снова дорога, мешок за спину
Всё наскоро, в поле насрано, дождь, пасмурно
Мост в Асгард — после, пусть просто везёт с транспортом
Я делаю каждый свой куплет автопортретом
Час на чек, читаем рэп, как логопед под марафетом
Трафарет на парапетах: лого на стене везде
Моё ученье — всем, как Магомета с Бафометом
Я — звезда? Дайте тёплый плед и капюшон
Салфетки жопу вытирать — и всё, отметка «хорошо»
Раньше говорили: «Я бы с ним в разведку не пошёл»
Я с тобой в тур не поехал — ты проверку не прошёл (Homie, знай!)

[Припев]
Мой рэп, если коротко, про то, что
Уж который год который город под подошвой
В гору, когда прёт; потом под гору, когда тошно
Я не то, чтоб Гулливер, но всё же город под подошвой
Город под подошвой, город под подошвой
Светофоры, госпошлины, сборы и таможни
Я не знаю, вброд или на дно эта дорожка
Ты живёшь под каблуком, у меня город под подошвой
[Аутро]
My whole life, whole-whole, whole life
Whole-whole, whole life on the road
My whole life, whole-whole, whole life
Whole-whole, whole life on the road
My whole life, whole-whole, whole life
Whole-whole, whole life on the road
My whole life, whole-whole, whole life
Whole-whole, whole life on the road107Embed"
Oxxxymiron,2369808,338252,24422,Oxxxymiron,https://images.genius.com/7092d90b796d701574e9ae92e41db2c4.300x300x1.png,«Где нас нет» (”On the Other Side”),https://genius.com/Oxxxymiron-on-the-other-side-lyrics,1126498,"«Где нас нет» (”On the Other Side”) Lyrics[Текст песни «Где нас нет»]

[Интро: Mikolt Gyuricza]
Sino hora sancta morta
Sino hora sancta morta
Sino hora sancta morta

[Припев]
Там, где нас нет — горит невиданный рассвет
Где нас нет — море и рубиновый закат
Где нас нет — лес, как малахитовый браслет
Где нас нет, на Лебединых островах
Где нас нет, услышь меня и вытащи из омута
Веди в мой вымышленный город, вымощенный золотом
Во сне я вижу дали иноземные
Где милосердие правит, где берега кисельные

[Куплет 1]
Эй, йоу
«Ну-ка, слёзы вытер!
То ли дело их сын, сразу видно, что он лидер»
«Слышишь, если спросят, то ты ничего не видел»
«Ай, он весь в отца, из него ничего не выйдет»
«Кто ж её не знает-то, всему двору сосала»
«Это что такое? Руки! Я кому сказала?»
«Всё разворовали, а бывал непобедимым»
«Ваш ребёнок замкнут и не ладит с коллективом»
«Марш в детский сад!» «Дружный класс». «Дважды два»
«Раз на раз, баш на баш». «Чё, зассал? Не пацан?»
«Тока глянь на себя, тут фингал, там синяк
Хулиган! Стыдоба! Как ты смел, кем ты стал?»
«Мой-то? Да всё в облаках, как в детстве, витает»
«Ты ничем не лучше других, чудес не бывает»
«С нею? Да без шансов, он же пугалище с виду!»
«Хули ты всё умничаешь, сука, ты, чё, пидор?»
«На, сделай пару тяг — стены полетят
Чё, ништяк? По шестьдесят, бери сейчас»
«Тихий час». «Твои друзья — десять негритят»
«Все пиздят». «Скажи, где взял?» «Наперекосяк»
«Строгача!» «Как вышел, и каждое лето квасит»
«Сожалеем, но у нас всё так же нет вакансий»
«Как ты был неблагодарный, так жизнь сломал мне»
«На могильном камне пусть выбьют как-нибудь пошикарней»
[Припев]
Где нас нет — горит невиданный рассвет
Где нас нет — море и рубиновый закат
Где нас нет — лес, как малахитовый браслет
Где нас нет, на Лебединых островах
Где нас нет, услышь меня и вытащи из омута
Пусти в мой вымышленный город, вымощенный золотом
Во тьме я вижу дали иноземные
Где милосердие правит, где берега кисельные

[Куплет 2]
«Ты ж моя принцесса!»
«Ваша цель: выжать всё из её учебного процесса
Мы в Женеву на месяц, не жалейте их, профессор»
«Младшая будет красавица, а эта так, в довесок»
«Сядьте прямо! Тут обеденный стол, юная леди!»
«Что за ветер в голове, что за тон и манеры эти?»
«Мне тут напели, кто-то в кресло вице-мэра метит?»
«Постеснялся бы, хотя б, своим блядям звонить при детях!»
«Завтра важный этап: частный пансионат
Её нрав исправит, как высококлассный остеопат
Раз так страсти кипят, её враз тут остепенят!»
«Почему про отца твердят, что он властный социопат?»
«Гляньте-ка, вон та самая, новенькая, любуйтесь»
«Погоди, дитя, после школы, пока побудь здесь»
«Пастор поцеловал? Лазал под сарафан?»
«Не сопротивляйся, дитя, все дела во славу творца!»
«Сам не тиран и деспот, но надо знать своё место
А ты непутёвая недотёпа с самого детства
Я даю на роскошь, новшества — тебе недаром!
Эта тварь из отбросов общества тебе не пара!»
«Съешь их, добавишь к серой рутине цветов, оттенков»
«Эксклюзивный реабилитационный центр»
«Как с настроением у нас?» «К выздоровлению
Вместо поздравлений пусть вышлют как-нибудь поскромнее»
[Припев]
Где нас нет — горит невиданный рассвет
Где нас нет — море и рубиновый закат
Где нас нет — лес, как малахитовый браслет
Где нас нет, на Лебединых островах
Где нас нет, услышь меня и вытащи из омута
Пусти в мой вымышленный город, вымощенный золотом
Во тьме я вижу дали иноземные
Где милосердие правит и свет над берегами
Где нас нет — горит невиданный рассвет
Где нас нет — море и рубиновый закат
Где нас нет — лес, как малахитовый браслет
Где нас нет, на Лебединых островах
Где нас нет, услышь меня и вытащи из омута
Веди в мой вымышленный город, вымощенный золотом
Во тьме я вижу дали иноземные
Где милосердие правит и свет над берегами

[Аутро]
Где нас нет...40Embed"
Oxxxymiron,7345565,5469055,24422,Oxxxymiron,https://images.genius.com/cd7046ba80c9347ed35648c5f4e26862.300x300x1.png,КТО УБИЛ МАРКА? (WHO KILLED MARK?),https://genius.com/Oxxxymiron-who-killed-mark-lyrics,643483,"КТО УБИЛ МАРКА? (WHO KILLED MARK?) Lyrics[Текст песни «КТО УБИЛ МАРКА?»]

[Часть I]

[Куплет 1]
Знаешь чувство, будто забуксовал
Где-то свернул не туда и путь стал замысловат
И ты ходишь кругами, подбирая слова
Сознавая: всё исправить можно, лишь вернувшись назад
Контрамарки — да, действительны, кинолента идёт долго
Запаситесь терпеньем и поп-корном
Распишитесь и получите:
Ретроспектива столь симптоматична, сколь поучительна
Конец двухтысячных был чисто ice age
Никакой хип-хап индустрии, лишь MySpace
Плюс, яркие мечты объявить им, что я есть
Дабы невидимым не быть — мою жизнь не писал Уэллс
Ведь тот, кто в детстве, как цепку и амулет
Таскал клеймо жертвы с самооценкою на нуле
Долгих несколько лет
После всю жизнь стоит перед выбором:
Сдаться, измениться внутри либо компенсировать
Я выбрал третье и стал бороться вовсю
Против мира вдали от мест, где родные берёзки растут
Мой максимализм: я всех этих бонз обоссу
И баттл-рэп сходу налез, как супер-геройский костюм
В нём я умел всё, о чём не мог и мечтать
И пришло время закрывать подростковый гештальт
Стала жизнь, как я себе тщательно рисовал
Жаль, костюм забыл научить отвечать за свои слова
Schokk, мой напарник тех лет, был жёстче на вид
Но тоже внутри дитё и с демонами громче моих
Чтоб с ним делить в пути рабочие дни — тот ещё тип
С неустойчивой психикой: то бро, то законченный псих
Мы диссили всех: Касту, Димасту, Басту
Жигана, Джигана, были искренни, но по-разному
Я угорал над их рифмой, стегал за стиль
А он угрожал при конфликтах и лично цеплял родных
Vagabund: культовый андерграунд-феномен
Альянс ботаника с гопником — новый саунд Европы
Фанатизм, ажиотаж, но в команде раздоры
Schokk постоянно подставляет меня, гадит и ноет
Токсичная дружба, валить, сука, нужно
Ещё в середине октября дал знать, что я ухожу
Только докатаем города, но ровно тогда
Судьбой в античной пьесе на сцену входит Рома Жиган
Налёт и выстрел из травмата в окно, в харю с ноги
Так с мюзикла сменился жанр кино на боевик
Лещи, колени, извинения, съёмка? Баттлы да книги
Вот моё, но я попал под каток, враг мой — язык мой
Так что первый урок: поскорей, парнишка, бросай
Говорить лишь издали то, что ты не повторишь в глаза
И второй: не поддакивай косякам
Ведь когда снега настигают тебя — ты сам за себя
От нас требовали извинений со сцены
Schokk улетел, осмелел и повторил оскорбления
Я понимаю, стресс — с нами там была его дама
Но зачем пиздеть, что мы напишем заяву?
А что бы выбрал ты? Выбор не из простых
Ты сказал, что хочешь свалить, потом вляпался в их конфликт
Извинишься публично — позор не выйдет в сети
Либо сгинь с удравшим братишкой, что вечно тебя чморит?
Очевидно
Я всё верно решил, всё мирно решил
Видео с Schokk'ом — в сети, моё — не вышло, лежит
Я закрыл калитку, выбросив с обрыва ключи
Дав обет молчания, на десять лет хватило
Тактически верный ход, сделка и компромисс
Фаны приняли хорошо, хотя несколько напряглись
Молчание — это клад, золото либо кляп
Но я не подозревал, как оно изменит меня
[Часть II]

[Куплет 2]
Новая глава: я перебираюсь в Россию
Строю заново с нуля всё один
Первый микстейп, у Неваляшки появляются силы
Встречаю Porchy, потом Booking Machine
Мы начинаем расти
Schokk сходит с ума, посвящает мне песни
Я легко отделался? Разве что на поверхности
Тревоги и депрессии — гнёт великоват
У Ромы Жигана на полке компромат
Рома — православный патриот, ладно
Вроде как шантаж — это не слишком православно
Даже если пиздить чужаков — патриотично
На колени ставить толпой — не дипломатично
Я всё это хаваю, у меня нет выбора
Если не хочу, чтоб мои будущие дети в школе увидали видео
С отцом на коленях и пощёчиной
И делаю то, что от меня хочет он
Иду в его фильм под названием «BEEF»
Интервью с эмси про конфликты рэп-игры
В нём уже снялись все игроки, но для хайпа нужен я
Я соглашаюсь на прогиб — второй компромисс
Слушатели в ужасе от иллюзии дружбы с ним
Жиган — это всё, против чего мы с Vagabund'ом шли
Когнитивный диссонанс в мозгу как яд
Я не предавал Schokk'а, но предаю себя
Туры, баттлы, мой второй микстейп
Неформатный рэп всё поднимается наверх
Это немыслимый успех, но и бессилие
Ведь я снова жертва, и я снова компенсирую
Входит Женя, выходит Горгород, деньги льются рекой
По три тура в год, бурный поток, Ургант, бомонд, ёбаный список Forbes
Я сломал игру, но подсел на самоцензуру тут абсолютно во всём
Это нельзя сказать, ведь я фанбазу оскорблю
А это нельзя, поскольку меня сразу засмеют
Это нельзя — моя семья читает меня часто
А вот это точно нельзя — это небезопасно
Психосоматика, я сдавленная пружина
Мышечные зажимы, страх, что я не мужчина
Молчание затягивает молчащего, как трясина
Болотка, Pussy Riot, репрессии, Украина
Я всё игнорирую, но боль не уходит
Я качаюсь до блевоты, курю до крови в мокроте
Запои, наркотики, я всё убегаю
В постели снова другая, но и это ноль помогает
Каждый оппонент на баттле стелет про лещей мне
Запретная тема, но секрет Полишинеля
Я всегда молчу, в этом я герой поколения
Не пойду к Дудю: он точно спросит про колени меня
Гнойный и Ледовый, прайм-тайм, KOTD
Я скоро практически рэпер номер один
Жиган релизит фильм, я и тут на промо согласен
Скелет в моём шкафу по новой обрастает мясом
Премьера — унижение, братаюсь, как будто всё забыто
Убеждая себя: «Это моё решение»
Лаве карман не греет, ведь на чердаке всё это время
За меня тайно дряхлеет портрет Дориана Грея
Внешне всё окей, можно расслабиться:
Старые фаны не помнят, новые не знают — всё
Жиган уже пару лет ведёт себя корректно
Время отпустить, но ёкает грудная клетка
Я начинаю оступаться, я — тень себя прежнего
Ментор, CEO, легенда — заслуг и медалей
Скоро больше, чем у Брежнева
Эготрип, Империя, деменция
Но внутри неуверенность младенца
Мой карьерный суицид — столько лет молчать
Я не выпускаю шесть, не выступаю пять
Строю отношения, завязываю с рэпом
Скован цепью из самонавязанных запретов
Но моя новая жизнь — наперекосяк, увы
Походу та сделка была и с совестью, и с дьяволом
Ухожу с BM, наше братство неоценимо, но
Стало тесно, и чтоб команду не зацепило
Раджабов, суды, Мотузная, мирный протест
«Я буду петь свою музыку», Жуков и «Сядь за текст»
Храбрость — это постепенный процесс, дегустирую, как деликатес
И вхожу во вкус, но стыд изнутри по-прежнему ест
Несогласованная демонстрация
Попроще, чем своих позорных демонов люстрация
Сбрасываю хоть немного эго-тиранию
Года полтора без соцсетей и терапия
Вроде начинаю чё-то робко понимать
Процесс не из приятных
Чего-то в пазле не хватает явно, будто отсутствует центральная часть
Хожу кругами и тут я вспоминаю
Дрожащими пальцами в переписку ВК
Искать то, что не знал никто, позабыли я и Жиган
Что десять лет спустя ещё может где-то лежать
То, чем он мне угрожал во время шантажа
Вот оно, в ч/б, видео налета того ЧП
Годы напролёт оно ждало меня на дно, где воды черней
Дико, но весь кипиш
Из-за пары секунд, что ты в начале клипа видишь
Со школы боялся, что меня станут стебать
2021 — я заебался убегать
Сколько себя помню, я дрожал над репутацией
Но чтоб стать свободней, нужно не бояться обосраться
Я так не хотел стоять десять секунд на коленях
Что в итоге стоял на них десять лет
Рома, ты позвонишь — и мы спокойно побеседуем
Слышь, я своё отмолчал, ты мне ничего не сделаешь
Как выходит забавно — всё тайное становится явным
И каждый свою роль отыграл тут, пока мы ставили сценки
Я был жертвой, но только своей низкой самооценки
Фродо сомневается, но танцы с обрыва
Кольцо Всевластья скрывается в жерле Ородруина
Жизнь — это компромисс, и это плохо не всегда
Но у некоторых из них слишком высокая цена
Я давно простил Schokk'у выходки дебила
Вот теперь я могу простить Жигана — было и было
Может меня простят те, кого ранил, любя
Но главное, что сегодня я прощаю себя
[Часть III]
[Куплет 3]
Русь, куда несёшься ты, кто виноват и что делать?
Тварь ли я дрожащая или право имею? А
Из чего сделаны наши мальчишки?
How much is the fish?
Отчего так в России берёзы шумят?
И за что аборигены съели Кука?
У вас продаётся славянский шкаф?
Кто мы и откуда, откуда?
Кому нужен ломтик июльского неба?
Отчего люди не летают?
Правда или действие?
Где твои семнадцать лет?
Куда уходит детство?
Есть ли жизнь на Марсе?
Что нам делать в Греции? Я
Что день грядущий мне готовит?
Сколько же стоит твоя свобода?
С чего начинается Родина?
Жизнь или кошелёк?
Почём опиум для народа?
Есть кто живой?
Стой, кто идёт?
В чем сила, брат?
Сколько стоит шмот?
Сколько ты зарабатываешь?
Сколько сантиметров?
Что? Где? Когда?
Кто хочет стать миллионером?
Где эта улица, где этот дом?
Где лучшие тусовки?
Кому добавки?
Сколько вешать в граммах?
Куда смотрит милиция?
Who let the dogs out?
Кого ты больше любишь — папу или маму?
What is love?
Куда приводят мечты?
Что в имени тебе моём?
Кто, если не мы?
Загнанных лошадей пристреливают, не так ли?
Но главное: кто убил Марка?164Embed"
Oxxxymiron,241242,288023,24422,Oxxxymiron,https://images.genius.com/57d8a6ea9c8483ba892618cfca41edad.300x300x1.png,До зимы (Before Winter),https://genius.com/Oxxxymiron-before-winter-lyrics,550782,"До зимы (Before Winter) Lyrics[Текст песни «До зимы»]

[Интро]
Был у семьи, видел диапозитив
Вы мертвы, кто с них на нас глядит?
Сын на слайде — я был когда-то им
Лица выцвели или не найдены
Мир пуст и несправедлив
Фильм Discovery, принцип Дарвина:
Хитрый невинных, а сильный слабого
Мир изменил меня тихой сапою

[Куплет 1]
В тихой заводи, тихой гавани
В мире идиллий и мишки Гамми
Наивны, как мир у героини «Амели»
Не было обиды, вины, анафемы
Но мы — травмированный вид
Сны о любви, но либидо нам велит:
«Либо другим на мобилу набери
Либо будь ими любим и знаменит»
Скрытые камеры, софиты, Хаммеры
Половина мира зырит с придыханием
Клипы на TV, свиту заведи
С тиранией, как Иди Амин и Хаменеи
Был внутри — ты забытый на мели
Был VIP — до могилы довели
Плиты, памятник, битый камень, и
Исход судьбы — спиралевидный лабиринт
[Куплет 2]
Не, не назаретянин
Да и на самаритян, увы, мы с вами не тянем —
Нам бы славу с деньгами, ордена да медали
Словно там противоядие от заболеваний
Но дьявол обитает в деталях
Как у Ватикана в тиаре, тот самый сценарий
Социальными сетями оплетая себя
Мы навсегда теряем сами себя в самопиаре
Мы инопланетяне, на хуй землян
Они ебальники вытягивают, как Модильяни
Что их так удивляет: океан злодеяний
Или срам в опочивальнях? Стёкла запотевают
В каземате прозябает только пассионарий
Избавляя избирателя от самотерзаний
До свидания, сентябрь, я всё пялюсь из окна
Жара ушла, мы с ней остались друзьями

[Куплет 3]
Мало до зимы, это осень, так пусть же нас осенит
Вдруг окрасив лист, и дует наземь вниз
Тут спасает лишь Луи, но не Чемодан, а Фердинанд Селин
Как сказал бы Луперкаль: «Старина Селин»
Мало до зимы, все расслабились
Это зря, все не спят, но не сглазить бы
Мы чуем страх и ветра дуют с Азии
[Куплет 4]
Ух, как нас любить
Нужно, видать, чтобы тут нас поселить
Пустота степи, узкоглаз и дик
Обитатель её, а создатель глуп, как прозелит
Пусть и властелин — слуги, вазелин
Демиург — полупетух, как василиск
Пустота зимы, пустота внутри
Замкнутый круг, in the hood, Assassin's Creed

[Куплет 5]
Скоро дождь и град, и только брешь и дыра
Там, где брошь была, выбор пошловат
И ему грош цена: уничтожь себя или сойдёшь с ума
Вот и весь мой джихад — дождь и мрак
Ты заторможенный, не понял до сих пор, жираф
Что я бы дожевал — в рожи вам
Но я лишь жлоб и мне такое не положено
Правда не мёд, ложь не яд
Я вижу толпы и головы на площадях
Нас придут топить, будто мешок щенят
Я жду непрошеного гостя, как Дон Жуан
Дождь и град. «Что ж ты так, —
Мне говорят, — почему же ты бьешь набат
Если не вождь, не раб? Только будь собой»
А я только начинаю долгий путь домой41Embed"
Oxxxymiron,2369908,2484362,24422,Oxxxymiron,https://images.genius.com/7092d90b796d701574e9ae92e41db2c4.300x300x1.png,Переплетено (Interlaced),https://genius.com/Oxxxymiron-interlaced-lyrics,543092,"Переплетено (Interlaced) Lyrics[Текст песни «Переплетено»]

[Скит: Женя Муродшоева]
Марк, я тебе вообще кто: литературный агент или мамочка?
Ты когда-нибудь трубку возьмёшь? Я совершенно не хочу лезть в твои дела, но та юная особа, с которой тебя видели под утро... короче, будь осторожен *помехи* — чается вплоть до знаешь кого? Гуру! Давай серьёзно: если она вдруг потащит тебя на фавелы или, не дай бог, к нему, пожалуйста, не ведись на эту хрень про «переплетено» и на всю эту остальную эзотерику

[Куплет 1]
Всё переплетено, море нитей, но
Потяни за нить, за ней потянется клубок
Этот мир — веретено, совпадений ноль
Нитью быть или струной или для битвы тетивой
Всё переплетено в единый моток
Нитяной комок и не ситцевый платок
Перекати-поле гонит с неба ветерок
Всё переплетено, но не предопределено

[Припев]
Это картина мира тех, кто
Вашей давно противится, как секта
Ведь у всего не единый архитектор
Всё переплетено, мне суждено тут помереть еретиком
Ваша картина мира — сетка
Полотно, текстильная салфетка
Будто работала ткачиха или швейка
Но всё переплетено, само собою — набекрень, наискосок
[Куплет 2]
Всё переплетено, в руке сертификат
Что я сдерживаю мозг, тока сердце — никак
Мой город устаёт чинить за деспотами власть
В разрезе предстаёт причинно-следственная связь
И там всё переплетено, везде сатирикон
Бездействие закона при содействии икон
Убейся, если ты не коп и если ты не власть
Наш город не спасёт и чудодейственная мазь
Хотя всё переплетено: время и цейтнот
Смерть и натюрморт, постель чиновника, делооборот
Но каждый в своём теле одинок:
Рабовладелец и зелот. Но город — слоёный пирог
Знай, мир, по сути, прост: не берите в долг
Не ведите торг, стерегите кров
Не ебите голову, не говорите «гоп»
Берегите психов, чужаков, еретиков
Ведь всё переплетено, телик и террор
С церковью бордели, казино
Картель и детдом. Над мэрией темно
Где всей этой системе антипод, ежели с денег за дерьмо
Концерны делают патент на антидот?
Здесь не понимая целых категорий
Экосистем, эти олухи всё делят, как совет директоров
Но кабинеты, фавелы, притоны
Горсовет, политтехнологи, кредиторы, синод —
[Припев]
Вся картина мира тех, кто
Вашей давно противится, как секта
Ведь у всего не единый архитектор
Всё переплетено, мне суждено тут помереть еретиком
Ваша картина мира — сетка
Полотно, текстильная салфетка
Будто работала ткачиха или швейка
Всё переплетено, само собою, чёрт-те с чем, наискосок

[Куплет 3]
Всё переплетено, в руке сертификат
Что я выше держу нос, тока сердцем в бегах
Люто хочется весны, слепо на краю
Осознанные сны, флэшбэки, дежавю —
Тут ногу сломит чёрт, и даже Астарот
Всё так же прыг-скок с островка на островок
Шиномонтаж и пит-стоп, а дальше остановок
Не видать, пока нам ног не сломит вражий костолом
Вот так мы и живём, и так мы и умрём —
Удобрим эту гору собой, став её углём
В недобром этом городе, рабом ли, бунтарём —
Это круговорот природы: червяков доест орёл
А после — червяки орла, всё переплетено
Внедрим полутона в их чёрно-белое кино
Оттенки и цвета. Левиафан ли, Бегемот ли,
Мэр — лишь серый кардинал, а нас тут целый легион
Всё переплетено: Лев и Козерог, с Девою Телец и Скорпион
Стрелец или Водолей у Близнецов — тут нету эзотерики, сынок
На соседей идут войной, если у населения спермотоксикоз
Пусть, не понимая всех моих теорий
Из нас лепят конспирологов, мол, у нас варит еле котелок
Но чья наркоимперия, по-твоему
По артериям города гонит эти контейнеры с отходами переработки
Добытой под горою рудой, проданной за бугор
Пока дома, в лабораториях, из её же отходов путём обработки
Гонят в народ тот самый наркотик, что называется «Гор»?
[Скит: Женя Муродшоева]
Ну, как сходили к Гуру? Ты теперь тоже жаждешь крови мэра? А вообще смешного мало, конечно. Я тебе говорила, что эта твоя загадочная Алиса тебя до добра не доведёт? Откуда у тебя вообще время на заигрывание с радикалами? Хотя, если тебя это вдохновляет, и ты снова хоть что-то пишешь... Кстати, у тебя будет прекрасная возможность... короче, можно мы с мужем единственный раз в жизни выберемся из дома? Посидишь с Ником, ладно? Он быстро отрубится, и ты сможешь спокойно закончить «Поли...», «Полигон», или как ты там говорил? А то я уже, честно, не помню, когда в последний раз что-то твоё читала41Embed"
Oxxxymiron,7447207,11232070,24422,Oxxxymiron,https://images.genius.com/664fba51ba65abc142387ce2a39d750b.300x300x1.jpg,Хоп-механика (Hop Mechanics),https://genius.com/Oxxxymiron-hop-mechanics-lyrics,455522,"Хоп-механика (Hop Mechanics) Lyrics[Текст песни «Хоп-механика»]

[Интро]
Лапы к самиздату тянут магистраты и Дяди Стёпы
Читающий еврей, но не Матисьяху
Двигается по галактике автостопом
Дайте пройти, кидайте в шляпу
Кредитные карты, дукаты, злоты
Если водится монет, как у нумизмата
Если ни гроша — напевайте строки

[Куплет 1]
Жить — это про фарш, про тесто, слои лазаньи
Перечеркни мои болезни, Демна Гвасалия
Жив для противостояния угасанию
Жид — не ортодоксальный, а парадоксальный
Бартер: за лечение в Аркхеме — Пятый Картер
Жёлтый символ на пиджаке — не эмблема Carhartt
Тьма египетская над бездной, крещение анхом
Батя возвращается трезвым, в руке буханка
Ёбу дал, я стереотип о селебрити
Годы опытов, как в себя прийти, чтоб к себе прийти
Видно, слиплись от крови глаза Гестапо:
Вот кто поднял выразительно бровь, не Азат Мифтахов
Музу развезло, инструктировать некому
Похуй, текст — ремесло, сел инкрустировать, эй
Я не пропустил ничего, веками так
Курёхин спит, на сцене ослы, это Хоп-механика
[Припев]
Хор свыше
Под питчем
Мёртв Ницше
Бог дышит
Чёрт брешет
Контора пишет
Нон-фикшн
OG shit
Мой слог движет
Сквозь смог рикшей
Сок слов выжал
Извёл строф жижу
Стёр строк больше
Чем выдал Джон Гришам
Нос тёр жёстче
Разве что Жижек

[Куплет 2]
Когда рвало крышу — затворничал, как Бобби Фишер
До сих пор никто из игроков не смог заполнить нишу
Пропасть между Gorillaz и Girls'n'Boys
Я сбитый лётчик — так творить начал Йозеф Бойс
С мылом голяк, петля слаба и соскользнула
Это знак, брат, ещё рано умирать, слезай со стула
Игра бедна текстовиками и соснула
Пусть я в морге, но читаю — Zillakami и Sosmula
Т-Т-Там где-то д-д-дарк техно
Смерть на рейве, сет в Алеппо
Град с неба идёт, как глиттер
Аве Мария, слова молитвы и адлибы
Учи нас принимать, что не изменить
Вручи шанс поменять что-то, исцелить
В ночи среди нас натянута вести нить
Чтоб вместе вспоминать ушедших лица, то, что есть — ценить
Я воспитал культуру, как сына
Улицы — моё второе имя, хоть не Майк Скиннер
Да ладно, я стебусь, бро
Не будь таким серьёзным, серьёзных часто ебут в рот113Embed"
