artist,id,lyrics_owner_id,primary_artist_id,primary_artist_name,song_art_image_thumbnail_url,title,url,pageviews,lyrics
Rihanna,2398213,672397,89,Rihanna,https://images.genius.com/05dcb548d5373d059869882a1635e65e.300x300x1.jpg,Work,https://genius.com/Rihanna-work-lyrics,7861436,"Work Lyrics[Chorus: Rihanna]
Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn?
Meh nuh cyar if him
Hurt, hurt, hurt, hurt, hurting

[Verse 1: Rihanna]
Dry! ...Me a desert him
Nuh time to have you lurking
Him ah go act like he nuh like it
You know I dealt with you the nicest
Nuh body touch me you nuh righteous
Nuh badda, text me in a crisis
I believed all of your dreams, adoration
You took my heart and my keys and my patience
You took my heart on my sleeve for decoration
You mistaken my love I brought for you for foundation
All that I wanted from you was to give me
Something that I never had
Something that you've never seen
Something that you've never been
Mmmmm
But I wake up and act like nothing's wrong
Just get ready fi...
[Chorus: Rihanna]
Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work
Ner, ner, ner, ner, ner, ner
When yuh ago learn, learn, learn, learn, learn, learn?
Before the tables turn, turn, turn, turn, turn, turn

[Verse 2: Rihanna]
Beg you something, please
Baby, don't you leave
Don’t leave me stuck here in the streets, uh huh
If I get another chance to
I will never, no, never neglect you
I mean, who am I to hold your past against you?
I just hope that it gets to you
I hope that you see this through
I hope that you see this true
What can I say?
Please recognize I'm tryin', babe
I have to
[Chorus: Rihanna]
Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn?
Meh nuh cyar if him
Hurt, hurt, hurt, hurt, hurting

[Verse 3: Drake with Rihanna]
Yeah, okay
You need to get done, done, done, done at work, come over
We just need to slow the motion
Don't give that away to no one
Long distance, I need you
When I see potential, I just gotta see it through
If you had a twin, I would still choose you
I don't wanna rush into it if it's too soon
But I know you need to get done, done, done, done
If you come over
Sorry if I'm way less friendly
I got niggas tryna end me, oh (Yeah)
I spilled all my emotions tonight, I’m sorry
Rollin', rollin', rollin', rollin', rollin'
How many more shots until you're rollin'?
We just need a face-to-face
You could pick the time and the place
You spent some time away
Now you need to forward and give me all the...
[Chorus: Rihanna & Drake]
Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn?
Meh nuh cyar if him
Hurt, hurt, hurt, hurt, hurting

[Outro: Rihanna]
Mmmmm, mmmmm
Mmmmm, mmmmm
Work, work, work, work, work, work
Mmmmm, mmmmm
[Click here to learn more about the making of ""Work""]
[Produced by Boi-1da]622Embed"
Rihanna,2378935,672397,89,Rihanna,https://images.genius.com/88d29fd3daca3bf19c27fdcfe233ba04.300x300x1.jpg,Love on the Brain,https://genius.com/Rihanna-love-on-the-brain-lyrics,2213961,"Love on the Brain Lyrics[Verse 1]
And you got me like, ""Oh, what you want from me?""
(What you want from me?)
And I tried to buy your pretty heart, but the price too high
Baby, you got me like ""Oh""
You love when I fall apart (fall apart)
So you can put me together and throw me against the wall

[Pre-Chorus]
Baby you got me like i-i-i-i-i-i-i-i-i-hiii, woo i-i-i-i-i-i-i-i-i-hiii
Don't you stop loving me (loving me)
Don't quit loving me (loving me)
Just start loving me (loving me)
Owwwwww

[Chorus]
And babe I’m fist-fighting with fire
Just to get close to you
Can we burn something babe
And I run for miles just to get a taste
Must be love on the brain
That’s got me feeling this way
It beats me black and blue but it fucks me so good
And I can’t get enough
Must be love on the brain yeah
And it keeps cursing my name
No matter what I do
I’m no good without you
And I can’t get enough
Must be love on the..... brain
[Verse 2]
Baby keep loving me
Just love me
Yeah, just love me
All you need to do is love me, yeah
Got me like, ah-ha-ha-owww
I’m tired of being played like a violin
What do I gotta do to get in your motherfuckin’ heart?
Baby like i-i-i-i-i-i-i-i-i-hiii, woo i-i-i-i-i-i-i-i-i-hiii

[Pre-Chorus]
Baby you got me like i-i-i-i-i-i-i-i-i-hiii, woo i-i-i-i-i-i-i-i-i-hiii
Don't you stop loving me (loving me)
Don't quit loving me (loving me)
Just start loving me (loving me)
Ooooooohhh

[Chorus]
And babe I’m fist-fighting with fire
Just to get close to you
Can we burn something babe
And I run for miles just to get a taste
Must be love on the brain
That’s got me feeling this way
It beats me black and blue but it fucks me so good
And I can’t get enough
Must be love on the brain yeah
And it keeps cursing my name
No matter what I do
I’m no good without you
And I can’t get enough
Must be love on the.... brain
[Click here to learn more about the making of ""Love on the Brain""]175Embed"
Rihanna,2413890,172030,89,Rihanna,https://images.genius.com/bd92f1f683fa690b2087bbe4c9cb6ac4.300x300x1.jpg,Needed Me,https://genius.com/Rihanna-needed-me-lyrics,2173153,"Needed Me Lyrics[Intro: YG]
Mustard on the beat, ho!

[Verse 1]
I was good on my own, that's the way it was
That's the way it was
You was good on the low for a faded fuck
On some faded love
Shit, what the fuck you complaining for?
Feeling jaded, huh?
Used to trip off that shit I was kickin' to you
Had some fun on the run though I'll give it to you

[Pre-Chorus]
But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

[Chorus]
You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me
[Verse 2]
You been rollin' around, shit I'm rollin' up
Light and roll it up
Break it down, like a pound, shit was never us
Shit was never us
That's the real, on the real, are you serious?
How you feel, how you feel?
Used to trip off that shit I was kickin' to ya
Had some fun on the run though, I'll give it to ya

[Pre-Chorus]
But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

[Chorus]
You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me281Embed"
Rihanna,97160,113967,89,Rihanna,https://images.genius.com/dd6f6559ac537baf036183b8c36ad845.300x300x1.png,Stay,https://genius.com/Rihanna-stay-lyrics,1721703,"Stay Lyrics[Verse 1: Rihanna]
All along it was a fever
A cold sweat, hot-headed believer
I threw my hands in the air, said, ""Show me something""
He said, ""If you dare, come a little closer""

[Pre-Chorus: Rihanna]
Round and around and around and around we go
Oh now, tell me now, tell me now, tell me now you know

[Chorus: Rihanna]
Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
And it takes me all the way
I want you to stay
[Verse 2: Mikky Ekko]
It's not much of a life you're living
It's not just something you take, it's given

[Pre-Chorus: Mikky Ekko]
Round and around and around and around we go
Oh, now tell me now, tell me now, tell me now you know

[Chorus: Mikky Ekko]
Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
And it takes me all the way
And I want you to stay
[Bridge: Rihanna & Mikky Ekko]
Ooh, the reason I hold on
Ooh, 'cause I need this hole gone
Funny you're the broken one
But I'm the only one who needed saving
'Cause when you never see the light
It's hard to know which one of us is caving

[Chorus: Rihanna & Mikky Ekko]
Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
And it takes me all the way
I want you to stay

[Outro: Rihanna & Mikky Ekko]
Stay
I want you to stay
Ooh217Embed"
Rihanna,2397579,672397,89,Rihanna,https://images.genius.com/303a182c68e313537c5d30f712c91013.300x293x1.jpg,Kiss It Better,https://genius.com/Rihanna-kiss-it-better-lyrics,1374717,"Kiss It Better Lyrics[Intro]
Kiss it, kiss it better, baby
Kiss it, kiss it better, baby

[Verse 1]
Been waitin' on that sunshine, boy
I think I need that back
Can't do it like that
No one else gon' get it like that
So why argue? You yell, but cha take me back
Who cares, when it feels like crack?
Boy, ya know that you always do it right

[Pre-Chorus]
Man, fuck yo pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what cha gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in yo eye

[Chorus]
What are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
[Verse 2]
Been waitin' on that sunshine, boy
I think I need that back
Can't do it like that
No one else gon' get it like that
So why argue? You here, here to take me back
Who cares, when it feels like crack?
Boy, ya know that you always do it right

[Pre-Chorus]
Man, fuck yo pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what cha gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in yo eye

[Chorus]
What are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)

[Verse 3]
I’ve been waitin' up all night
Baby tell me what’s wrong?
You're gonna make it right, make it all night long
I’ve been waiting up all night
Baby, tell me, what’s wrong?
Going to make it right, make it all night long
[Pre-Chorus]
Man, fuck yo pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what cha gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in yo eye

[Chorus]
What are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
What are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)

[Outro]
Kiss it, kiss it better, baby
Kiss it, kiss it better, baby158Embed"
Rihanna,2414113,672397,89,Rihanna,https://images.genius.com/0f12ab6ad053fac0f20e0f14fc045a84.300x300x1.png,Sex with Me,https://genius.com/Rihanna-sex-with-me-lyrics,1083339,"Sex with Me Lyrics[Chorus]
Sex with me, so amazing
All this all hard work, no vacation
Stay up off my Instagram, pure temptation
Hit a switch on a fake nigga, like a station
Sex with me, so amazing
Sex with me, so amazing

[Verse 1]
Vodka and water, and a lemon
And a few other things I cannot mention
Oh-na-na-na-na
Five fingers on it (five fingers)
Hit it like you own it, I’ma hit it like I’m on it
Straight shots of the blue dot
(Shots, shots, shots, shots)
Baby, I’ma pick your  poison
Oh-we, ah-yeah, you gon’ need it
I’m off that la-la
I’ma get it wet like jacuzzi, ah-yea

[Chorus 2]
And sex with me, so amazing
All this all hard work, no vacation
Stay up off my Instagram, pure temptation
Sex with me, sex with me, sex with me
So amazing, so amazing, mmmm
[Verse 2]
You know I got the sauce (sauce), you know I’m saucy
And it’s always wet, a bitch never ever had to use lip gloss on it
I’ma need you deeper than six, it's not a coffin
We’re not making love, tryna get nasty
Wrap up your drugs, come make me happy
Sex with me is amazing, with her it’ll feel alright
The sex doesn’t get any better, make it long, let it be all night
I know, I know, I make it hard to let go
Tonight, all night, I’m Monroe
Even if I’m alone

[Chorus]
Sex with me, so amazing
All this all hard work, no vacation
Stay up off my Instagram, pure temptation
Hit a switch on a fake nigga, like a station
Sex with me, sex with me, sex with me
So amazing, so amazing, mmmm

[Outro]
Sex with me, so amazing
Sex with me so amazing
(This is the best there is)100Embed"
Rihanna,731783,104344,89,Rihanna,https://images.genius.com/f109ee3a9b4a793fb674d25a20020af4.300x300x1.png,Bitch Better Have My Money,https://genius.com/Rihanna-bitch-better-have-my-money-lyrics,1010273,"Bitch Better Have My Money Lyrics[Intro]
Yayo, yayo
Mula-la
Yayo

[Verse 1]
Bitch better have my money
Y'all should know me well enough
Bitch better have my money
Please don't call me on my bluff
Pay me what you owe me
Ballin' bigger than LeBron
Bitch, give me your money
Who y'all think y'all frontin' on?
Like bra, bra, bra

[Pre-Chorus]
Louis XIII, and it's all on me, nigga, you just bought a shot
Kamikaze, if you think that you gon' knock me off the top
Shit, your wife in the backseat of my brand new foreign car
Don't act like you forgot
I call the shots, shots, shots
Like bra, bra, bra
Pay me what you owe me, don't act like you forgot

[Chorus]
Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (Bitch better have my)
Bitch better have my (Bitch better have my)
Bitch better have my money
[Verse 2]
Turn up to Rihanna while the whole club fuckin' wasted
Every time I drop by, I am the only thing y'all playin'
In a drop top, doin' hundred, y'all in my rearview mirror racin'
Where y'all at? Where y'all at? Where y'all at? (Where y'all at?)
Like bra, bra, bra

[Pre-Chorus]
Louis XIII, and it's all on me, nigga, you just bought a shot
Kamikaze, if you think that you gon' knock me off the top
Shit, your wife in the backseat of my brand new foreign car
Don't act like you forgot
I call the shots, shots, shots
Like bra, bra, bra
Pay me what you owe me, don't act like you forgot

[Chorus]
Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (Bitch better have my)
Bitch better have my (Bitch better have my)
Bitch better have my money
Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (Bitch better have my)
Bitch better have my (Bitch better have my)
Bitch better have my money
[Outro]
Bitch better have my money
Bitch better have my money
Bitch, bitch, bitch better have my money
Yo, that bitch better have my money
Hold up
My money
Yo, my money
That bitch better have my money
Bitch better have my money780Embed"
Rihanna,89794,113967,89,Rihanna,https://images.genius.com/d31652f8a9f5ae2afc54525cff56b883.300x300x1.jpg,Diamonds,https://genius.com/Rihanna-diamonds-lyrics,979066,"Diamonds Lyrics[Intro]
Shine bright like a diamond
Shine bright like a diamond

[Verse 1]
Find light in the beautiful sea
I choose to be happy
You and I, you and I, we're like diamonds in the sky
You're a shooting star I see, a vision of ecstasy
When you hold me, I'm alive, we're like diamonds in the sky

[Pre-Chorus]
I knew that we'd become one right away
Oh, right away
At first sight, I felt the energy of sun rays
I saw the life inside your eyes

[Chorus]
So shine bright, tonight, you and I
We're beautiful, like diamonds in the sky
Eye to eye, so alive
We're beautiful, like diamonds in the sky

[Post-Chorus]
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful, like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful, like diamonds in the sky
[Verse 2]
Palms rise to the universe as we moonshine and molly
Feel the warmth, we'll never die
We're like diamonds in the sky
You're a shooting star I see, a vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky

[Pre-Chorus]
At first sight, I felt the energy of sun rays
I saw the life inside your eyes

[Chorus]
So shine bright, tonight, you and I
We're beautiful, like diamonds in the sky
Eye to eye, so alive
We're beautiful, like diamonds in the sky

[Post-Chorus]
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful, like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful, like diamonds in the sky
[Bridge]
Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond

[Chorus]
So shine bright, tonight, you and I
We're beautiful, like diamonds in the sky
Eye to eye, so alive
We're beautiful, like diamonds in the sky

[Outro]
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shine bright like a diamond
Oh-oh, yeah
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shine bright like a diamond
Shine bright like a diamond89Embed"
Rihanna,2413944,672397,89,Rihanna,https://images.genius.com/096c04d908e64e3bdcf530526568deab.300x300x1.webp,Consideration,https://genius.com/Rihanna-consideration-lyrics,940746,"Consideration Lyrics[Verse 1: Rihanna]
I came fluttering in from Neverland
Time can never stop me, no, no, no, no
I know you've tried to
I came riding in on a pale white horse
Handing out highs to less fortunate
I do advise you
Run it back, run it on back
When you breaking it down for me
Cause I can't hear you, two times
Run it on back, will it ever make sense to me?

[Chorus: Rihanna]
I got to do things my own way darling
Will you ever let me
Will you ever respect me? No
Do things my own way darling
You should just let me
Why you ain't ever let me grow?
[Post-Chorus: SZA]
When I look outside my window
I can't get no piece of mind
When I look outside my window
I can't get no peace of mind
[Verse 2: Rihanna]
Let me cover your shit in glitter
I could make it gold, gold
Heard you tryna sell your soul, baby
Word on the street, you run it low lately
I needed you to please give my reflection a break
From the face it’s seeing now
Ooh darling, gahhlee
Would you mind giving my reflection a break
From the pain it’s feeling now?

[Chorus: Rihanna & SZA]
I got to do things my own way darling
You should just let me
Will you ever respect me? No
Do things my own way darling
You should just let me
Why you ain't ever let me grow?
[Post-Chorus: SZA]
When I look outside my window
I can't get no piece of mind
When I look outside my window
I can't get no peace of mind

[Outro: SZA (Rihanna)]
Get no piece
Get no peace
Get, get, getting no peace
Can't get no peace
(Get, g-g-get no peace oh)133Embed"
Rihanna,1629,7,89,Rihanna,https://images.genius.com/9971bfbea4efdc425c909d8795c85dda.300x300x1.jpg,Umbrella,https://genius.com/Rihanna-umbrella-lyrics,867893,"Umbrella Lyrics[Intro: JAY-Z]
Uh-huh, uh-huh (Yeah, Rihanna)
Uh-huh, uh-huh (Good Girl Gone Bad)
Uh-huh, uh-huh (Take three, action)
Uh-huh, uh-huh (Hov)

[Verse 1: JAY-Z]
No clouds in my stones
Let it rain, I hydroplane in the bank
Coming down with the Dow Jones
When the clouds come, we gone, we Roc-A-Fella
We fly higher than weather, in G5's or better
You know me (You know me)
In anticipation for precipitation, stack chips for the rainy day
Jay—Rain Man is back
With Little Miss Sunshine, Rihanna, where you at?

[Verse 2: Rihanna]
You have my heart
And we'll never be worlds apart
Maybe in magazines
But you'll still be my star
Baby, ‘cause in the dark
You can't see shiny cars
And that's when you need me there
With you, I'll always share
Because
[Chorus: Rihanna]
When the sun shine, we shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out to the end
Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh, eh, eh-eh

[Verse 3: Rihanna]
These fancy things
Will never come in between
You're part of my entity
Here for infinity
When the war has took its part
When the world has dealt its cards
If the hand is hard
Together we'll mend your heart
Because

[Chorus: Rihanna]
When the sun shine, we shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out to the end
Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh, eh, eh-eh
[Bridge: Rihanna]
You can run into my arms
It's okay, don't be alarmed
Come into me
There's no distance in between our love
So gon' and let the rain pour
I'll be all you need and more
Because

[Chorus: Rihanna]
When the sun shine, we shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out to the end
Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh, eh, eh-eh

[Outro: Rihanna]
It's rainin', rainin'
Ooh, baby, it's rainin', rainin'
Baby, come here to me
Come into me
It's rainin', rainin'
Ooh, baby, it's rainin', rainin'
You can always come into me
Come into me
It's pourin' rain
It's pourin' rain
Come here to me
Come into me
It's pourin' rain
It's pourin' rain74Embed"
