artist,id,lyrics_owner_id,primary_artist_id,primary_artist_name,song_art_image_thumbnail_url,title,url,pageviews,lyrics
Wiz Khalifa,720401,341761,310,Wiz Khalifa,https://images.genius.com/cbe83b544e75e5b3511736de47a2a294.300x300x1.png,See You Again,https://genius.com/Wiz-khalifa-see-you-again-lyrics,4194820,"See You Again Lyrics[Chorus: Charlie Puth]
It's been a long day without you, my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh, I'll tell you all about it when I see you again
When I see you again
[Verse 1: Wiz Khalifa]
Damn, who knew?
All the planes we flew, good things we been through
That I'd be standing right here talking to you
'Bout another path, I know we loved to hit the road and laugh
But something told me that it wouldn't last
Had to switch up, look at things different, see the bigger picture
Those were the days, hard work forever pays
Now I see you in a better place (See you in a better place)

[Refrain: Wiz Khalifa]
Uh, how could we not talk about family when family's all that we got?
Everything I went through, you were standing there by my side
And now you gon' be with me for the last ride
[Chorus: Charlie Puth, Wiz Khalifa]
It's been a long day without you, my friend
And I'll tell you all about it when I see you again (I'll see you again)
We've come a long way (Yeah, we came a long way) from where we began
(You know we started)
Oh, I'll tell you all about it when I see you again (I'll tell you)
When I see you again
Oh-oh-oh-oh, oh-oh-oh, oh-oh-oh-oh
Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh-ooh (Yeah)
[Verse 2: Wiz Khalifa]
First, you both go out your way and the vibe is feeling strong
And what's small turned to a friendship
A friendship turned to a bond
And that bond will never be broken
The love will never get lost (The love will never get lost)
And when brotherhood come first
Then the line will never be crossed
Established it on our own when that line had to be drawn
And that line is what we reached
So remember me when I'm gone (Remember me when I'm gone)

[Refrain: Wiz Khalifa]
How could we not talk about family when family's all that we got?
Everything I went through you were standing there by my side
And now you gon' be with me for the last ride

[Bridge: Charlie Puth]
So let the light guide your way, yeah
Hold every memory as you go
And every road you take
Will always lead you home, home
[Chorus: Charlie Puth, Wiz Khalifa]
It's been a long day without you, my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh, I'll tell you all about it when I see you again
When I see you again
Oh-oh-oh-oh, oh-oh-oh, oh-oh-oh-oh (Uh)
Yeah yeah (Yeah)
Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh-ooh (Yo)
When I see you again (Yo, uh)
Oh-oh-oh-oh, oh-oh-oh, oh-oh-oh-oh
See you again, oh-oh (Yo, yo)
Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh-ooh (Uh-huh)
(Yup) When I see you again2.4KEmbed"
Wiz Khalifa,89640,10380,310,Wiz Khalifa,https://images.genius.com/4c5c68bccf96cee1688d0dfd66b50e53.300x300x1.jpg,Remember You,https://genius.com/Wiz-khalifa-remember-you-lyrics,1122887,"Remember You Lyrics[Verse 1: The Weeknd]
She's about to earn some bragging rights
I'm 'bout to give it up like I've been holding back all night
Girl, take pride in what you want to do
Even if that means a new man every night inside of you
Baby, I don't mind
You can tell by how I roll
Cause my clique hot and my cup cold
My talk slurred cause I’m so throwed
And I'm wiping sweat from my last show
And he's TG and I'm XO
I'm only here for one night
Then I'ma be a memory
Say it in my ear, so I can hear what you say to me
I got cups full of that Rosé
Smoke anything that's passed to me
Don't worry 'bout my voice
I won't need it for what I'm about to do to you

[Hook: The Weeknd]
Bad bitch, girl I think I might get used to you
I might have to take your number when I'm through with you
All I ask of you is try to earn my memory
Make me remember you like you remember me
Bad bitch, girl I think I might get used to you
I might have to take your number when I'm through with you
All I ask of you is try to earn my memory
Make me remember you like you remember me
[Verse 2: Wiz Khalifa]
Old rapping ass
Light years past the class
Hit it, don't have to pass
Nigga, we the new Aftermath
Niggas after fame, I just had to laugh
Niggas after fame, I'm after cash
You's a fan, I'm a player
I'm the man, you's a hater
And I only smoke papers
That's how you tell I'm Taylor'd
Nigga listen
Break it down, rolling weed on the island of my kitchen
And not a thing goes down without permission
Look, everything I got on I was made for
Everything that I got I done came for
All the shit that you see I done slaved for
All the cars and the crib, yeah that's paid for
Need I say more
Spend so much money on clothes
Said fuck a store, making my own
I hope that you're rolling one up while you're singing along
And know I was rolling one while I was making this song
Pour out some shots
You're taking too long
Young and I'm rich
And plus all of my friends on that Bombay and lemonade
[Hook: The Weeknd]
Do to you
Bad bitch, girl I think I might get used to you
I might have to take your number when I'm through with you
All I ask of you is try to earn my memory
Make me remember you like you remember me
Bad bitch, girl I think I might get used to you
I might have to take your number when I'm through with you
All I ask of you is try to earn my memory
Make me remember you like you remember me

[Verse 3: Wiz Khalifa]
I'm on some gin, you on some gin
I'm moving slow, I'm driving fast
I hit the weed, you take the wheel
We lose control
Drop the top in that 69
And that motor roar in that old Chevelle
Can’t say a thing, how you supposed to feel
Stacking all of this paper, dawg
I like to call this shit old news
And these haters jocking our old moves
Popping champagne cause we made it
Back of the Phantom, we faded
All of this shit that I did I probably won't remember tomorrow
[Hook: The Weeknd]
Do to you
Bad bitch, girl I think I might get used to you
I might have to take your number when I'm through with you
All I ask of you is try to earn my memory
Make me remember you like you remember me
Bad bitch, girl I think I might get used to you
I might have to take your number when I'm through with you
All I ask of you is try to earn my memory
Make me remember you like you remember me

[Outro]
Oh, oh
Used to you
Through with you
All I ask of you is try to earn my memory
Make me remember you like you remember me
Used to you
Through with you
Memory, remember you104Embed"
Wiz Khalifa,359879,560146,310,Wiz Khalifa,https://images.genius.com/8b3838f541b3718f1829479c8ef9e926.300x300x1.jpg,We Dem Boyz,https://genius.com/Wiz-khalifa-we-dem-boyz-lyrics,578713,"We Dem Boyz Lyrics[Produced by Detail]
Yeah ayy!
Yeah ayy!
Yeah Boyz
Yeah
Hol' up, hol' up

[Chorus]
Hol' up, we dem boyz
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, we makin' noise, hol' up
Hol' up, hol' up, hol' up hol' up
Hol' up, we dem boyz
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, we makin' noise, hol' up
Hol' up, hol' up, hol' up hol' up

[Verse 1]
Hol' up, hol' up, hol' up, pop a bottle
Hol' up, hol' up, hol' up, if you suck then swallow
Smell that marijuana, they gon' follow
Throwin money on her like she won the lotto
Pussy must be serious
Hol' up, Scared of heights come face your fears
Hol' up, hol' up
Do it just like Nicki gon' and bend it over
Say she never smoked I turned her to a stoner
Young nigga but I'm ready
Oh, foreign girls call me sexy
And white girls gimme becky
But first I gotta roll this joint, baby hol' up
[Chorus]
Hol' up, we dem boyz
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, we makin' noise, hol' up
Hol' up, hol' up, hol' up hol' up
Hol' up, we dem boyz
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, we makin' noise, hol' up
Hol' up, hol' up, hol' up hol' up

[Verse 2]
Hol' up, hol' up, hol' up, you drive me crazy
Number 1, bitch you can't replace me
Leave the club these hoes be tryin' to chase me
You got a ass so fat let's make a baby (and another one!)
Damn, I'm smokin' weed in my Mercedes
Hol' up, these niggas broke, these niggas lazy
Man they money slim, they actin shady
I'm in my brand new car, who wanna race
Ho, bitch you ain't call my phone so why you showin' up
I'm takin them shots all my niggas stay loaded up
Man on the low all these hoes be actin so material
Hol' up, man did you see her interior

[Chorus]
Hol' up, we dem boyz
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, we makin' noise, hol' up
Hol' up, hol' up, hol' up hol' up
Hol' up, we dem boyz
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, we makin' noise, hol' up
Hol' up, hol' up, hol' up hol' up263Embed"
Wiz Khalifa,1210,732,310,Wiz Khalifa,https://images.genius.com/45b3171e86216219640b78ca023bac3d.300x300x1.png,Black and Yellow,https://genius.com/Wiz-khalifa-black-and-yellow-lyrics,520060,"Black and Yellow Lyrics[Intro]
Yeah, uh-huh, you know what it is
Black and yellow, black and yellow
Black and yellow, black and yellow
Yeah, uh-huh, you know what it is
Black and yellow, black and yellow
Black and yellow, black and yellow

[Chorus]
Yeah, uh-huh, you know what it is
Everything I do, yeah, I do it big
Yeah, uh-huh, screaming: ""That's nothin'!""
When I pulled off the lot, that's stuntin'
Reppin' my town, when you see me you know everything
Black and yellow, black and yellow
Black and yellow, black and yellow
I put it down from the whip to my diamonds, I'm in
Black and yellow, black and yellow
Black and yellow, black and yellow

[Verse 1]
Uh, black stripe, yellow paint
Them niggas scared of it, but them hoes ain't
Soon as I hit the club, look at them hoes' face
Hit the pedal once, make the floor shake
Suede inside, my engine roarin'
It’s the big boy, you know what I paid for it
And I got the pedal to the metal
Got you niggas checking game, I’m ballin' out on every level
Hear them haters talk, but there’s nothin' you can tell 'em
Just made a million, got another million on my schedule
No love for 'em, nigga breaking hearts
No keys, push to start
[Chorus]
Yeah, uh-huh, you know what it is
Everything I do, yeah, I do it big
Yeah, uh-huh, screaming: ""That's nothin'!""
When I pulled off the lot, that's stuntin'
Reppin' my town, when you see me you know everything
Black and yellow, black and yellow
Black and yellow, black and yellow
I put it down from the whip to my diamonds, I'm in
Black and yellow, black and yellow
Black and yellow, black and yellow

[Verse 2]
Got a call from my jeweler, this just in
And bitches love me ‘cause I'm fucking with their best friends
Not a lesbian, but she a freak though
This ain't for one night, I’m shining all week, ho
I’m sippin' Clicquot and rocking yellow diamonds
So many rocks up in my watch I can’t tell what the time is
Got a pocket full of big faces
Throw it up, 'cause every nigga that I’m with Taylor'd

[Chorus]
Yeah, uh-huh, you know what it is
Everything I do, yeah, I do it big
Yeah, uh-huh, screaming: ""That's nothin'!""
When I pulled off the lot, that's stuntin'
Reppin' my town, when you see me you know everything
Black and yellow, black and yellow
Black and yellow, black and yellow
I put it down from the whip to my diamonds, I'm in
Black and yellow, black and yellow
Black and yellow, black and yellow
[Verse 3]
Stay high like how I’m supposed to do
That crowd underneath them clouds can’t get close to you
And my car look unapproachable
Super clean, but it's super mean
She wanna fuck with them cats, smoke weed, count stacks
Get fly and take trips and that's that, real rap
I let her get high if she want and she feel that
Convertible drop feel, ‘87, the top peeled back

[Bridge]
Yeah, uh-huh, you know what it is
Yeah, yeah, uh-huh, you know what it is
You already know what it is, man
And if you don't, you should by now
Reppin' my town, when you see me you know everything
Black and yellow, black and yellow
Black and yellow, black and yellow
I put it down from the whip to my diamonds, I'm in
Black and yellow, black and yellow
Black and yellow, black and yellow

[Chorus]
Yeah, uh-huh, you know what it is
Everything I do, yeah, I do it big
Yeah, uh-huh, screaming: ""That's nothin'!""
When I pulled off the lot, that's stuntin'
Reppin' my town, when you see me you know everything
Black and yellow, black and yellow
Black and yellow, black and yellow
I put it down from the whip to my diamonds, I'm in
Black and yellow, black and yellow
Black and yellow, black and yellow80Embed"
Wiz Khalifa,100618,162765,310,Wiz Khalifa,https://images.genius.com/33ab790859f8f1a0a8e408ee23962e6c.300x300x1.jpg,Medicated,https://genius.com/Wiz-khalifa-medicated-lyrics,456378,"Medicated Lyrics[Intro]
You be anything you want
Just keep going, going, gone, gone, gone
It don't stop here nigga

[Verse 1: Wiz Khalifa]
Back when I was young I had dreams of getting richer
Then my homie Breeze set me down schooled me to the picture
I was with some wild niggas put me on the game
Told me if you tryin' to make your move you gotta know your lane homie
All you got your name and your word so never break it
For this life you pay a price you get a chance you gotta take it
Cause most niggas never make it they stranded where I'm from
Ain't no conversation all they understand is get a gun
I was riding in my Bonneville hoping I could make it
Out selling P’s and smoking weed avoiding police right up the street
Way back in the day before I had all of this paper
Before I had all of these diamonds, before I had all of these haters

[Refrain: Wiz Khalifa]
Now I remember when, I seen it and to me it was stuntin'
I remember when, I bought it I ain't need it or nothing
Always in a different state so now they label me a goner
I ain't come up out of nowhere I'm from straight up off the corner
Now everywhere we go, they probably know my name cause I been there
Now everywhere we go, they said how much I spend when I'm in there
And I'm throwing up my money for the ones who never made it
Sayin' fuck the ones who hated, roll one up and celebrate
[Hook: Wiz Khalifa]
Now let's get medicated
Man, let's get medicated
Let's get medicated
Man I'm hella faded
Man, let's get medicated
Let's get medicated
Let's get medicated
Man I'm hella faded
I'm hella faded

[Verse 2: Juicy J]
Roll that weed up and smoke it
Take your bitch home and poke it
Juicy be gettin' so faded
Thank God I got a chauffeur
Only good Cali bud
Pulling hoes bad as fuck
Just like a youngin' my nigga
Juicy do all them drugs
Niggas smoking that babbage weed
I be on that light green
Pop molly in the after hours
A member of no sleep team
Get a whole pound smoke it by myself
Or maybe after Olympics with my homie Michael Phelps
[Verse 3: Chevy Woods]
You known I’m fresh up off that corner, twistin marijuana
They copy us, they clone us
Yeah we so fly we owners
Got acting like they been before
But they ain't never been at all
8 balls I was in the hall
Ain't have time to fuck with y'all
Champagne when we celebrate
Keen sense so I smell the hate
Middle finger we getting paid
It cost much but don't press that eight
That dotted line it ain't like that day
Comic book let me illustrate
Like power bang when they lift that cane
My cousin died wish I can get that day
Back like it's a vertebrae
Bring that nigga on front street
Talk about and never be about it
They don't wanna beef cause that's lunch meat
So anything you need you know that's on me
And that's OG, I swear homie

[Hook: Wiz Khalifa]
Now let's get medicated
Man, let's get medicated
Let's get medicated
Man I'm hella faded
Man, let's get medicated
Let's get medicated
Let's get medicated
Man I'm hella faded
I'm hella faded
[Verse 4: Wiz Khalifa]
Riding down the street the way I'm grinding is unique
My city holding on to me so niggas holding on their heat
Throwing up their side, rolling up that leaf
All we do is get high, all we want is peace
Always on the grind that's every day so police looking
I'm just rapping killing beats and tryin' to stay away from booking
Yeah my niggas dirty crooked I just had to make it known
And let me hit the studio to show they happy to be home

[Refrain: Wiz Khalifa]
Now I remember when, I seen it and to me it was stuntin'
I remember when, I bought it I ain't need it or nothing
Always in a different state so now they label me a goner
I ain't come up out of nowhere I'm from straight up off the corner
Now everywhere we go, they probably know my name cause I been there
Now everywhere we go, they said how much I spend when I'm in there
And I'm throwing up my money for the ones who never made it
Sayin' fuck the ones who hated, roll one up and celebrate

[Hook: Wiz Khalifa]
Now let's get medicated
Man, let's get medicated
Let's get medicated
Man I'm hella faded
Man, let's get medicated
Let's get medicated
Let's get medicated
Man I'm hella faded
I'm hella faded107Embed"
Wiz Khalifa,72171,24888,310,Wiz Khalifa,https://images.genius.com/492c7fb20d8985e5dc0e23ec0b41fd89.300x300x1.png,"Work Hard, Play Hard",https://genius.com/Wiz-khalifa-work-hard-play-hard-lyrics,415167,"Work Hard, Play Hard Lyrics[Intro/Bridge]
Work hard, play hard
Work hard, play hard
Work hard, play hard
Work hard, play hard
Work, work, work, work
Work, work, work, work

[Verse 1]
Diamonds all on my ring nigga
Gold watches, gold chain nigga
Hundred thou' on champagne nigga
Yeah my money insane nigga
Yeah I'm making it rain nigga
But I was just on the plane nigga
Buying gear, flying here
Fuck what you heard, it’s my time of year
If I'm in the club, I get a hundred stacks
I'm always rolling up so I get love for that
Them niggas stole my swag but I don't want it back
My nigga uh! I was on this, but now I'm onto that
You see it in my closet before it's on the rack
Was out there in Hawaii, now I'm goin back
My nigga uh! I got so much money I should start a bank
So much paper right in front of me it's hard to think
Buy so many bottles it's gon' be hard to drink
But I'm still pourin' up and my family here and they rolling up so uh!
[Hook]
The bigger the bill, the harder you ball
Well I'm throwing mine, cause my money long
The quicker you here, the faster you go
That's why where I come from the only thing we know is..
The bigger the bill, the harder you ball
Well I'm throwing mine, cause my money long
The quicker you here, the faster you go
That's why where I come from the only thing we know is..

[Bridge]
Work hard, play hard
Work hard, play hard
Work hard, play hard
Work hard, play hard
Work, work, work, work
Work, work, work, work

[Verse 2]
Hop your pretty ass up in this fucking car
Bitch I'm out this world, girl you know I'm a star
Used to buying rounds but now we buy the bar
Last year they had to ask now they know who we are
Boss shit, walk in the building, I own shit
You can tell by who I'm on the phone with
Yeah nigga talking about grown shit
Niggas too busy jacking my swag
Need to fuck around, get your own shit
Get your own cars, get your own clothes
Get your own smoke, get your own bitch
You ain't reppin' my gang, get your own clique
[Hook]
The bigger the bill, the harder you ball
Well I'm throwing mine, cause my money long
The quicker you here, the faster you go
That's why where I come from the only thing we know is..
The bigger the bill, the harder you ball
Well I'm throwing mine, cause my money long
The quicker you here, the faster you go
That's why where I come from the only thing we know is..

[Verse 3]
Go hard
Make sure you do whatever is that you gotta do, that's your job
And niggas gon' hate but that's no prob'
So hey fuck 'em don't need nothing from 'em
Some niggas talking but the shit they claiming don't mean nothing
It's straight from Cali, that's what's in my joint that's what I'm puffin', OG
And been one since I was young enough to know that everybody was gonna know me
Most niggas don't see

[Hook]
The bigger the bill, the harder you ball
Well I'm throwing mine, cause my money long
The quicker you here, the faster you go
That's why where I come from the only thing we know is..
The bigger the bill, the harder you ball
Well I'm throwing mine, cause my money long
The quicker you here, the faster you go
That's why where I come from the only thing we know is..
Work hard, play hard
Work hard, play hard
Work hard, play hard
Work hard, play hard55Embed"
Wiz Khalifa,3795443,4147368,310,Wiz Khalifa,https://images.genius.com/e32ad5b8bfd399d29a11131d84ca21ec.300x300x1.jpg,Hopeless Romantic,https://genius.com/Wiz-khalifa-hopeless-romantic-lyrics,354073,"Hopeless Romantic Lyrics[Intro: Swae Lee]
Young Chop on the beat
Oh, oh
Oh, oh, oh
Turn the music up for me, Chris
She's gonna get, oh, oh, oh

[Chorus: Swae Lee]
My night runs into mornin', all the time (All the time)
And through my phone I'm scrollin', bang my line (Bang my line)
Off that drank it's hard to focus (Focus)
Seems like I'm always chosen by romantics that are hopeless
We can make arrangements though (Arrangements though)
And if you down, down, who knows, uh
I might just do you like we lovin', yeah
Or make you my numero uno

[Verse 1: Swae Lee]
She don't allow herself
To miss nobody else
I've had days where I was dolo (Where I was dolo)
But I never caught a bad case of FOMO (Don't miss out)
Don't talk to me about your previous
You know I'm that times two
Penthouse jumpin' from the front to backroom
Girls goin' wild, showin' off new tattoos (Tattoos)
[Chorus: Swae Lee]
My night runs into mornin', all the time (All the time)
And through my phone I'm scrollin', bang my line (Bang my line)
Off that drank it's hard to focus (Focus)
Seems like I'm always chosen by romantics that are hopeless
We can make arrangements though (Arrangements though)
And if you down, down, who knows, uh
I might just do you like we lovin', yeah
Or make you my numero uno

[Verse 2: Wiz Khalifa]
We get aggressive (We get aggressive)
You be undressin' (You be undressin')
Makin' a mess and (Makin' a mess and)
Cleanin' it up when we done
I got a serious question (Serious question)
Do you like sex? If you thinkin' yes
Then I'm tryna test you (I'm tryna test you)
Say young Khalifa the best
But I got money to get (I got money to get)
I gotta hop on a jet (I gotta hop on a jet)
Probably don't call, I'ma text (Probably don't call, I'ma text)
Hop in my car, it get wet (Hop in my car, it get wet)
I’m gettin' all of my checks (I'm gettin' all of my checks)
I’m winnin' all of my bets (I'm winnin' all of my bets)
No, I ain't lettin' you down
Baby, I'm givin' a hundred percent
[Chorus: Swae Lee]
My night runs into mornin', all the time (All the time)
And through my phone I'm scrollin', bang my line (Bang my line)
Off that drank it's hard to focus (Focus)
Seems like I'm always chosen by romantics that are hopeless
We can make arrangements though (Arrangements though)
And if you down, down, who knows, uh
I might just do you like we lovin', yeah
Or make you my numero uno

[Bridge: Wiz Khalifa]
I can't keep my mind off you (My mind off you)
I can't keep my mind off you (My mind off you)
I can't keep my mind off you (My mind off you)

[Chorus: Swae Lee]
My night runs into mornin', all the time (All the time)
And through my phone I'm scrollin', bang my line (Bang my line)
Off that drank it's hard to focus (Focus)
Seems like I'm always chosen by romantics that are hopeless
We can make arrangements though (Arrangements though)
And if you down, down, who knows, uh
I might just do you like we lovin', yeah
Or make you my numero uno27Embed"
Wiz Khalifa,396265,448336,310,Wiz Khalifa,https://images.genius.com/e168a843af4516427b50fafd226984ee.300x300x1.jpg,Maan,https://genius.com/Wiz-khalifa-maan-lyrics,316057,"Maan Lyrics[Produced by Nez & Rio]

[Intro]
Is it recording?
Love is life, and life is living
Fuckin' awesome, yeah!
Hahaha

[Hook]
I smoked the whole damn pound
I'm a need another one, 'nother one
Eyes closed, I won't come down
Only papers, no we don't fuck with blunts

[Verse 1]
Nigga, I don't just be sharing weed
A nigga got pounds to burn that's apparent
Just cause you up in this bitch
Don't mean you gon' hit this shit
You better roll somethin'
Coughin' like you got a cold or somethin'
Tryna  O.D. on THC
Nigga fuck around gave Young Khalifa a pound
Smoke the whole thing up in the week
Roll a joint, put a worm around that motherfucker
Smoke it to the face
Ohh shit, nigga just got some KK and he said he on the way
Big P told me church, get money on 'em every single day
So I want everything, every room, every plane, every place
We mobbin'
[Bridge]
Nigga, we mobbin', we mobbin', shit!
Go, go! Nigga, we mobbin'

[Hook 2]
Now every place that we go, they say we can't smoke
But we do it anyway, cause real G's smoke when they want
When they say turn down, we turn up and turn up some mo'
When they say put it out, it's too loud, We burn up some mo'
Then we keep rolling, and rolling, and rolling, and rolling
We keep rolling, and rolling, and rolling, and rolling
We keep rolling, and rolling, and rolling, and rolling

[Verse 2]
Nigga keep going, keep the KK blowin
Snakes in the grass keep mowin'
Ass so fat, look swollen
Another city, state gotta show in
Another airport gotta go in
Reason why you hate, I'm knowin
Niggas got too much hoein'
I keep rollin' up
Drivin' a brand new car like that motherfucker stolen
They don't understand what i'm doin'
Money in my hand, nigga, 28 grams when i'm rollin'
Been through New York and London and Paris and back
South By Southwes only niggas smokin' on pack
Rollin' up bats
Go on, get a bong, get a match
Everybody get along, get attached
Get a song, get a biatch
What he say, every dog need a cat
Potheads need a joint to relax
G pen full of wax
10 Rolled cone joints, really fast
No sticks no seeds in the bag
Got reason to brag
In the front, y'all b's in the back
Pair of chucks, ripped jeans is the swag
Little bitch, we mobbin'
[Bridge]
Nigga, we mobbin', we mobbin', shit!
Go, go! Nigga, we mobbin'

[Hook 2]
Now every place that we go, they say we can't smoke
But we do it anyway, cause real G's smoke when they want
When they say turn down, we turn up and turn up some mo'
When they say put it out, it's too loud, We burn up some mo'
Then we keep rolling, and rolling, and rolling, and rolling
We keep rolling, and rolling, and rolling, and rolling
We keep rolling, and rolling, and rolling, and rolling116Embed"
Wiz Khalifa,2304247,104344,310,Wiz Khalifa,https://images.genius.com/d6c8787c3dac2053f56eaf9da87076db.300x300x1.png,Bake Sale,https://genius.com/Wiz-khalifa-bake-sale-lyrics,306888,"Bake Sale Lyrics[Intro: Juicy J, Wiz Khalifa & Travis Scott]
Mistercap! You ready again bro?
Yeah!
TGOD Mafia, straight out of Pittsburgh, man!
Can't smoke weed to it
Don't doubt this nigga
I don't wanna listen to it
He the truth, nigga
Yeah

[Chorus: Travis Scott]
At my bake sale, yeah
We can't wait to bake, hell yeah
Laughin' off this drank, hell yeah
Lord for heaven sakes, hell yeah
All day, hell yeah
We've been countin' cake, hell yeah
Puffin' on this dank, hell yeah
We can't wait to bake, hell yeah

[Bridge: Travis Scott]
I've been on the phone, yeah, yeah, yeah, yeah
Gettin' calls from home, yeah, yeah, yeah, yeah
So I started up a bake sale, yeah, yeah, yeah
They know I got all the cake, yeah, yeah, yeah, yeah
[Verse 1: Wiz Khalifa & Juicy J]
Cookies and OG
Come to my crib, we blow by the Os
Kush, you already know
It ain't in a joint, we don't even smoke it
I keep a bitch gettin' stoned
We wakin' and bakin', puffin' a J
She told me that I'm her new favorite
How much do we blaze? A hundred a day
Say they got the good but what the pack smell like?
Feel like it's a dream but now we back to real life
It's incredible
I got flowers, wax, inhalers, edibles
All shit you never saw
And it's all at my bake sale
Roll another one, help me think well
I stay with the plane
I'm slangin' them thangs, you know we ain't new to this
Let's turn on the stove and call up some hoes
Let's roll up and do this shit (Yeah, ho)

[Chorus: Travis Scott & Juicy J]
At my bake sale, yeah
We can't wait to bake, hell yeah, yeah, yeah, yeah
Laughin' off this drank, hell yeah, yeah, yeah
Lord for heaven sakes, hell yeah
All day, hell yeah (Yeah, ho)
We've been countin' cake, hell yeah
Puffin' on this dank, hell yeah
We can't wait to bake, hell yeah
[Verse 2: Wiz Khalifa]
I just rolled a pound at my bake sale
Bitches goin' down at my bake sale
I just keep it real, I don't fake well
Niggas say they on, well I can't tell
I just fucked three hoes, I don't know their name
Pussy come and pussy go, it's all the same
I'm rollin' up the weed while I count the cake
Naked bitches in the kitchen, shake 'n' bake
What you think? I'm on this dank, I'm off that drank
I often blaze an ounce a day
You at my crib, it's no mistake
Rollin' papers, rollin' trays, shattered pieces
Glasses, lighters, torches, fuck it, anything that matters
You can get it all right here

[Chorus: Travis Scott & Juicy J]
At my bake sale, yeah
We can't wait to bake, hell yeah
Laughin' off this drank, hell yeah
Lord for heaven sakes, hell yeah
All day, hell yeah (Yeah, ho)
We've been countin' cake, hell yeah
Puffin' on this dank, hell yeah
We can't wait to bake, hell yeah
[Outro: Wiz Khalifa & Travis Scott]
Roll, roll one up
Got a J, make a plane, now we goin' up
All day, every day, we ain't roll enough
Get a pound, break it down, get them cones stuffed
It's goin' down, goin' down
I'ma roll one up
Got a J, make a plane, now we goin' up
All day, every day, we ain't smoke enough
I'm on the KK, stoned as fuck
At my bake sale, yeah53Embed"
Wiz Khalifa,490057,672397,310,Wiz Khalifa,https://images.genius.com/408138533eee919d9a38553e4f96fb14.300x300x1.jpg,So High (Blacc Hollywood),https://genius.com/Wiz-khalifa-so-high-blacc-hollywood-lyrics,301972,"So High (Blacc Hollywood) Lyrics[Verse 1]
First thing uh huh, wake up out a dream uh huh
Grab a lighter uh huh, something I can steam uh huh
Bong rip uh huh, make sure its clean uh huh
Smoke sesh uh huh, nigga what you mean uh huh
In my car uh huh, cruising down the street uh huh
So stoned I'mm need something to eat uh huh
No tray uh huh, ashes on my seat uh huh
Highed up uh huh, Taylors on my feet uh huh
Cloud 9 uh huh, going through my mind uh huh
Take a toke uh huh, hold it 'til you choke huh uh
Moving forward uh huh, cruising on my board uh huh
Still got more uh huh, burn it til it’s short uh huh

[Pre-Hook]
(And I be floating)
And I get so high, fuck around and never come down
(Higher than a motherfucker)
I get so high, I get so high
(And I be floating)
And I get so high, fuck around and never come down
(High than a motherfucker)
I get so high, I get so high
(And I be higher than a motherfucker)

[Hook]
High up and we're floating
Don't know where we're going
Night until the morning
We're rolling, rolling, rolling
Higher then we're floating
Don't know where we're going
Night until the morning
We're rolling, rolling, rolling
[Verse 2]
Tell that nigga use a grinder for that weed uh huh
And tell him ""roll another joint don't fall asleep"" uh huh
Smoke peace uh huh, pipe like a chief uh huh
Heard you got a cheaper price for that reefer huh
What you need? Uh huh, never find a seed uh huh
Take a dab uh huh, straight THC uh huh
For the highest in the room look at me uh huh
Somewhere in the clouds that's where we wanna be uh huh
Got you shook uh uh, not just for the look uh huh
Half the day uh huh, rolled the whole book uh huh
Drive slow uh huh, blow it by the O uh huh
Eyes low uh huh, everybody know it damn

[Pre-Hook]
(And I be floating)
And I get so high, fuck around and never come down
(Higher than a motherfucker)
I get so high, I get so high
(And I be floating)
I get so high
Fuck around and never come down
(and I be higher than a motherfucker)
I get so high, I get so high
(and I be higher than a motherfucker)
[Hook]
Higher then we're floating
Don't know where we're going
Night until the morning
We're rolling, rolling, rolling
Higher then we're floating
Don't know where we're going
Night until the morning
We're rolling, rolling, rolling

[Bridge]
Growing up uh huh, never gave a fuck uh huh
Pulling out the 62 and showing up uh huh
Twenty-six, guess that mean I'm growing up uh huh
Pouring up uh huh, all my niggas rolling up
Making sure that...

[Pre-Hook]
And I get so high, fuck around and never come down
(Higher than a motherfucker)
I get so high, I get so high
(And I be floating)
And I get so high, fuck around and never come down
(and I be higher than a motherfucker)
I get so high, I get so high
(And I be floating)
[Hook]
Higher then we're floating
Don't know where we're going
Night until the morning
We're rolling, rolling, rolling
Higher then we're floating
Don't know where we're going
Night until the morning
We're rolling, rolling, rolling73Embed"
